ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
CANBK,895,2017-01-04,44.666810181,2017-04-07,51.5894041044,,6034.9312136374065,0.15096085608489987,signal
GOKUL,1833,2017-07-10,21.95,2017-10-10,20.6,,-2636.376257260199,-0.06552550885649201,signal
ABB,29,2019-07-23,1354.8821185497,2019-10-29,1448.1999385625,,2548.1824250023055,0.0648531398265811,signal
ALKYLAMINE,127,2019-07-23,308.3195565535,2019-10-29,367.7043334269,,7384.375280945918,0.18858579034526254,signal
AXISBANK,54,2019-07-23,724.9687455676,2019-10-29,735.3752337423,,404.4922478767403,0.010332303604396053,signal
BAJAJFINSV,55,2019-07-23,714.5878128034,2019-10-29,812.3081583715,,5216.5414203609325,0.13272855476058965,signal
BAJAJHLDNG,12,2019-07-23,3072.5312710432,2019-10-29,3371.8141661691,,3443.0987001706526,0.09338388005517993,signal
BATAINDIA,31,2019-07-23,1263.495413918,2019-10-29,1755.454130469,,15093.181474393954,0.38534118635609205,signal
CAPACITE,157,2019-07-23,250.05,2019-10-29,205.0,,-7230.7486844222,-0.1841860592065587,signal
DCMSHRIRAM,88,2019-07-23,442.1159333687,2019-10-29,345.1699196121,,-8687.733534944182,-0.22329944990456674,signal
FEDERALBNK,419,2019-07-23,93.5834854335,2019-10-29,81.6059920774,,-5176.281897817367,-0.13200934638166278,signal
GOLDIAM,2036,2019-07-23,19.3,2019-10-29,29.36,,20324.112699278397,0.517221431316062,signal
GOKUL,3441,2019-10-29,11.8,2020-01-28,10.55,,-4464.5622191496,-0.10995429538983051,signal
BALRAMCHIN,253,2020-01-28,159.476556146,2020-05-04,90.2652550468,,-17672.740811405183,-0.4380125340549275,signal
ANDHRSUGAR,737,2020-10-29,55.05,2021-01-29,61.92,,4900.006286689801,0.1207735483269755,signal
APOLLO,3874,2020-10-29,10.475,2021-01-29,12.12,,6209.512903326198,0.15301848079236272,signal
BEL,1504,2020-10-29,26.9816260808,2021-01-29,40.4957930964,,20162.089227522905,0.4968434590653828,signal
DLINKINDIA,431,2020-10-29,94.0,2021-01-29,102.05,,3306.598964711993,0.08161620587234025,signal
GALAXYSURF,24,2020-10-29,1636.1,2021-01-29,2068.95,,10230.466926691202,0.26053997633323156,signal
GLAXO,30,2020-10-29,1343.1656340704,2021-01-29,1329.963985828,,-558.1195198160858,-0.013850848712895544,signal
ABFRL,274,2021-01-29,150.1,2021-05-05,172.95,,6095.481813479193,0.14820975343637557,signal
APLLTD,43,2021-01-29,952.7,2021-05-05,955.8,,-31.46942308119469,-0.0007681820598298274,signal
BERGEPAINT,70,2021-01-29,585.1147222222,2021-05-05,588.9225,,101.80747741275263,0.0024856536320677,signal
BLUESTARCO,115,2021-01-29,355.7419330924,2021-05-05,405.4096415198,,5547.241389088114,0.1355951524323546,signal
CHENNPETRO,526,2021-01-29,78.100395484,2021-05-05,96.0441227109,,9273.16973204018,0.22572997411567058,signal
CHOLAHLDNG,82,2021-01-29,499.5057689251,2021-05-05,572.8052550723,,5845.815095184313,0.1427219312070497,signal
DCBBANK,410,2021-01-29,100.3,2021-05-05,89.6,,-4552.400489316002,-0.11070205211964113,signal
DIVISLAB,12,2021-01-29,3268.8798014152,2021-05-05,3914.5365504758,,7590.108165148398,0.19349411792031437,signal
DRREDDY,44,2021-01-29,914.7385820072,2021-05-05,1025.6849424925,,4719.756701110775,0.1172654131600555,signal
EDELWEISS,663,2021-01-29,62.0,2021-05-05,57.05,,-3447.182113752002,-0.0838608016774194,signal
BIGBLOC,528,2021-05-05,80.1,2021-08-04,113.4,,17412.29446746241,0.41170824507865195,signal
ENERGYDEV,4841,2021-05-05,8.75,2021-08-04,11.0,,10721.879210494997,0.2531207651428571,signal
GODREJPROP,34,2021-05-05,1223.4,2021-08-04,1637.35,,13906.998670004788,0.33433821534019914,signal
APOLSINHOT,62,2021-08-04,722.3,2021-11-08,823.1,,6069.480262800804,0.1355321098551849,signal
BHEL,791,2021-08-04,57.2330114853,2021-11-08,72.0346523867,,11526.012570841332,0.25459859765568454,signal
CHENNPETRO,459,2021-08-04,98.5829234456,2021-11-08,104.6932574174,,2622.6453922894434,0.05795957539467637,signal
GESHIP,161,2021-08-04,280.378137043,2021-11-08,295.5107351005,,2254.7875146794468,0.04995001230561948,signal
GICRE,282,2021-08-04,160.115326673,2021-11-08,128.4138703159,,-9121.418290708061,-0.20201348367884406,signal
ALKEM,13,2021-11-08,3452.4451375691,2022-02-07,3343.4473071661,,-1597.4904708263202,-0.03559329039991035,signal
ALKYLAMINE,14,2021-11-08,3271.9798905417,2022-02-07,3086.6759191692,,-2778.49845720172,-0.060655683150164896,signal
BAJAJELEC,41,2021-11-08,1098.25,2022-02-07,1220.35,,4824.992235901002,0.10715478029683591,signal
BALAMINES,13,2021-11-08,3278.2585712365,2022-02-07,3405.2295209071,,1479.2113972648804,0.03470912669783112,signal
BHARATWIRE,813,2021-11-08,56.35,2022-02-07,80.8,,19693.587709145388,0.4298732052493342,signal
21STCENMGM,1157,2022-02-07,40.45,2022-05-12,26.95,,-15807.736519959803,-0.3377674566477133,signal
APARINDS,72,2022-02-07,648.1624927871,2022-05-12,588.5156376226,,-4482.2753525836015,-0.09604663187736666,signal
APTECHT,132,2022-02-07,353.6,2022-05-12,277.7,,-10206.5319485184,-0.21867141326696832,signal
DIAMONDYD,59,2022-02-07,781.0,2022-05-12,588.4,,-11548.733977267999,-0.25062900621254797,signal
ADSL,412,2022-05-12,107.8,2022-08-10,117.6,,3858.9644147487998,0.0868869989090909,signal
AGARIND,83,2022-05-12,533.05,2022-08-10,624.75,,7433.149980330207,0.16800679834799756,signal
AJMERA,3712,2022-05-12,11.982,2022-08-10,10.282,,-6489.291325948921,-0.1459015778955098,signal
AVTNPL,494,2022-05-12,89.9,2022-08-10,91.4,,562.3764810248031,0.01266311378420474,signal
BANARISUG,18,2022-05-12,2355.1,2022-08-10,2469.25,,1884.196280354401,0.04444718743611739,signal
BHANDARI,8895,2022-05-12,5.0,2022-08-10,6.15,,10050.367458300003,0.22597790800000006,signal
BSE,193,2022-05-12,229.6690104933,2022-08-10,209.9994918643,,-3974.500824119328,-0.08966498560045719,signal
CALSOFT,1119,2018-04-13,35.85,2022-08-10,22.65,,-14932.150845985801,-0.37222292882008373,signal
GANGESSECU,436,2022-05-12,101.95,2022-08-10,106.85,,1957.617206181596,0.04404068387052467,signal
GNFC,65,2022-05-12,682.25,2022-08-10,764.1,,5141.8853026450015,0.115948593232686,signal
ARIHANTCAP,685,2022-08-10,66.0,2022-11-15,69.6,,2284.161220679991,0.050523362545454344,signal
ARCHIDPLY,685,2022-11-15,66.05,2023-02-13,56.65,,-6620.976535971,-0.14633851894928085,signal
ASPINWALL,211,2022-11-15,213.75,2023-02-13,207.65,,-1468.501376815002,-0.03256010369590648,signal
ASTERDM,271,2022-11-15,166.7047059182,2023-02-13,159.0392493747,,-2259.0446742422428,-0.05000433648001698,signal
CANTABIL,200,2022-11-15,226.54,2023-02-13,218.95,,-1700.2329443359995,-0.03752610895064888,signal
CHEMFAB,152,2022-11-15,297.35,2023-02-13,296.7,,-280.58729654240597,-0.006208068122414794,signal
COROMANDEL,50,2022-11-15,896.5977633383,2023-02-13,879.2140995403,,-1049.4931244570398,-0.023410567533638828,signal
DCW,893,2022-11-15,50.7,2023-02-13,48.9,,-1789.5006175092058,-0.03952505057988178,signal
ESTER,309,2022-11-15,146.25,2023-02-13,118.2,,-8849.213365094998,-0.19581696379487176,signal
FLUOROCHEM,13,2022-11-15,3396.2268584947,2023-02-13,2937.9717213564,,-6134.89596220848,-0.13895275365238777,signal
