ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASHIMASYN,1785,2016-07-01,16.8,2016-08-02,17.75,,1449.185905104001,0.04832552704761908,signal
ASHOKA,176,2016-07-01,169.9,2016-08-02,152.55,,-3173.8702038207994,-0.10614098546674512,signal
BANG,1153,2016-07-01,26.0,2016-08-02,21.7,,-5204.381873976003,-0.17360670738461548,signal
BASML,114,2016-07-01,261.15,2016-08-02,264.7,,159.9192768588,0.005371628084242773,signal
CAPLIPOINT,28,2016-07-01,1049.3634660595,2016-08-02,1207.4063206177,,4307.022108375553,0.1465862145305027,signal
CEMPRO,208,2016-07-01,143.7641786056,2016-08-02,144.2118871203,,-27.149041494882113,-0.0009079051487105268,signal
GILLANDERS,433,2016-07-01,69.15,2016-08-02,66.1,,-1566.8354675594019,-0.05232910573825024,signal
GNFC,187,2016-07-01,160.05,2016-08-02,144.75,,-2981.4785992002035,-0.09961721852296168,signal
ASAHIINDIA,168,2016-08-02,178.3933045427,2016-09-01,200.1219662194,,3529.8727621324033,0.11777991022424306,signal
BANCOINDIA,190,2016-07-01,157.65,2016-09-01,227.0,,13056.024267278,0.4358764173561687,signal
CANFINHOME,112,2016-08-02,266.5303877934,2016-09-01,286.2213872617,,2085.32684951352,0.0698569115587365,signal
DEEPAKFERT,172,2016-08-02,173.9542662116,2016-09-01,219.5279010239,,7718.323656966368,0.2579642093699458,signal
DELTACORP,303,2016-08-02,99.05,2016-09-01,150.85,,15574.6883715822,0.5189461058798587,signal
DWARKESH,835,2016-08-02,35.93,2016-09-01,23.255,,-10704.293994242598,-0.3567913655875313,signal
GOODLUCK,239,2016-08-02,125.55,2016-09-01,111.65,,-3568.8157924933985,-0.1189349554010354,signal
AEGISLOG,235,2016-09-01,130.4451490792,2016-10-04,148.993402727,,4235.543945453686,0.13816988507795466,signal
BLKASHYAP,1271,2016-09-01,24.2,2016-10-04,21.6,,-3428.312310154397,-0.11146010852892552,signal
DATAMATICS,374,2016-09-01,82.15,2016-10-04,84.3,,551.4836231827976,0.017949545248934797,signal
DEEPAKNTR,260,2016-09-01,118.3087496855,2016-10-04,120.4293316932,,427.6306663355863,0.013902043056258643,signal
DONEAR,597,2016-09-01,51.55,2016-10-04,68.75,,10144.6187109678,0.32963455203491754,signal
