ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
DENORA,66,2016-08-16,300.85,2016-08-23,314.25,,721.1413190387975,0.0363183766720956,signal
DLINKINDIA,225,2016-08-08,88.6,2016-08-23,90.4,,324.8195959799996,0.016293935088036095,signal
GEECEE,139,2016-08-16,142.95,2016-08-23,168.0,,3402.0308308554013,0.17121400453725086,signal
BSL,316,2016-08-16,63.1,2016-09-07,67.5,,1226.4547743567964,0.06150849437083975,signal
DALMIASUG,178,2016-08-16,111.9474676002,2016-09-07,108.3635557873,,-718.0831191623911,-0.036036320546011164,signal
GOKEX,261,2016-08-16,76.55,2016-09-12,69.4,,-1946.509588218596,-0.09742509657217485,exit_model_urgent
ALANKIT,268,2016-10-24,74.85,2016-11-01,68.8,,-1702.0823611016021,-0.08485041531329336,exit_model_urgent
BAJFINANCE,190,2016-10-30,105.108891,2016-11-04,96.6251034297,,-1692.2435879847908,-0.08473636354816028,exit_model_urgent
CHOLAFIN,86,2016-10-30,230.814462,2016-11-07,217.3642348085,,-1236.5582405631249,-0.0622949882256272,signal
ALANKIT,318,2016-11-07,62.8,2016-11-09,56.55,,-2067.8227860767984,-0.1035443849936305,exit_model_urgent
CAPLIPOINT,54,2016-10-24,369.2068914286,2016-11-15,338.2929068786,,-1749.5443062554332,-0.08775288161333096,signal
ENERGYDEV,120,2016-11-07,165.8,2016-11-15,150.25,,-1946.0235424320017,-0.09780978801930044,signal
AXISCADES,119,2016-11-15,165.45,2016-11-16,143.0,,-2750.739159446599,-0.1397126329489271,exit_model_urgent
BEDMUTHA,949,2016-11-15,20.9,2016-11-18,19.25,,-1645.6245749371992,-0.0829694604210526,exit_model_urgent
ANANTRAJ,521,2016-11-15,38.104134552,2016-11-21,33.9091839592,,-2265.4168512527795,-0.11411383511714723,exit_model_urgent
ARMANFIN,109,2016-11-15,181.5,2016-11-22,183.5,,55.338242917998286,0.002797191746556387,signal
BALKRISHNA,264,2016-11-15,75.15,2016-11-22,74.75,,-268.72301644320396,-0.013544779957418695,signal
CANFINHOME,83,2016-11-15,239.0047228334,2016-11-22,290.7078240384,,4211.569584370358,0.21230460059443915,signal
DECCANCE,47,2016-11-15,422.3,2016-11-22,398.425,,-1201.9558842252009,-0.060557730171915736,signal
DELTACORP,186,2016-11-15,106.4,2016-11-22,108.75,,357.501190483199,0.018064374165413483,signal
GALLANTT,554,2016-11-15,35.7709563259,2016-11-22,35.4231831394,,-355.60444530809764,-0.017944314222171596,signal
GLOBUSSPR,284,2016-11-22,69.5,2016-11-28,96.7,,7645.411948104,0.3873448144748201,exit_model_urgent
ALANKIT,393,2016-11-22,50.2,2016-11-29,53.25,,1119.2997557687995,0.056734880111553754,signal
BERGEPAINT,129,2016-11-22,152.9553181537,2016-11-29,198.9491638229,,5853.845244692853,0.2966790946235485,signal
BFUTILITIE,49,2016-11-22,399.95,2016-11-29,442.85,,2023.276850925402,0.10324131592599085,signal
BPL,362,2016-11-22,54.5,2016-11-29,72.2,,6328.048146932,0.32074855020183485,signal
CERA,10,2016-11-22,1899.0246842185,2016-11-29,2007.2254451377,,1005.6270892900247,0.05295492458034412,signal
ELECON,874,2016-11-22,22.6143383108,2016-11-29,25.8130769534,,2716.2012000270915,0.13742527641901636,signal
FILATEX,3194,2016-11-22,6.1893810619,2016-11-29,6.6443355664,,1290.583111691285,0.06528356227302017,signal
GENUSPOWER,554,2016-11-22,35.65,2016-11-29,38.8,,1582.712860790798,0.08013695428330986,signal
