ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
DTIL,180,2016-07-01,221.6333333333,2016-07-25,214.3333333333,,-1474.4573382479794,-0.036959375802080544,exit_model_urgent
CYBERTECH,647,2016-07-01,61.75,2016-07-26,55.55,,-4172.091625107001,-0.10442695029959517,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-08-04,21.3,,-7389.435414895997,-0.18479132276923071,exit_model_urgent
ARCHIDPLY,780,2016-07-01,51.25,2016-08-10,49.6,,-1447.7831277000005,-0.036217213951219525,exit_model_urgent
ASTRAL,185,2016-07-01,215.5360413046,2016-08-10,210.3761649675,,-1114.9546930404395,-0.027961829901226323,exit_model_urgent
CEMPRO,278,2016-07-01,143.7641786056,2016-08-16,137.6952409621,,-1847.9133701314058,-0.04623662487156735,exit_model_urgent
BALAMINES,149,2016-07-01,267.22608569,2016-09-01,283.1472079057,,2212.100832823984,0.0555571297462241,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-09-29,205.15,,11857.077050638603,0.2972782568740882,exit_model_urgent
BASML,153,2016-07-01,261.15,2016-10-04,341.25,,11926.7785031526,0.29849818370361864,signal
CARBORUNIV,143,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3176.3870238215895,-0.07905619841224973,exit_model_urgent
FILATEX,5411,2016-10-04,7.4542545745,2016-11-04,7.4292570743,,-297.49243978312006,-0.007375546050994477,exit_model_urgent
AIAENG,31,2016-10-04,1271.7203303297,2016-11-07,1192.9782739755,,-2599.568008152746,-0.06593983796682402,exit_model_urgent
ATLASCYCLE,133,2016-10-04,302.4,2016-11-09,333.05,,3914.684677433601,0.09733372810582014,exit_model_urgent
AARTIIND,243,2016-10-04,165.4104905228,2016-11-15,169.1284046906,,741.7861635879817,0.018454802639808497,exit_model_urgent
GSFC,467,2016-10-04,86.25,2016-11-15,83.35,,-1516.3048381450062,-0.03764528040579725,exit_model_urgent
GENESYS,435,2016-10-04,92.6,2016-11-21,85.2,,-3381.013887852001,-0.08393569891144712,exit_model_urgent
