ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BANG,1538,2016-07-01,26.0,2016-07-19,23.65,,-3775.1354148960017,-0.09440670738461543,exit_model_urgent
CYBERTECH,647,2016-07-01,61.75,2016-07-19,57.1,,-3169.2416251069953,-0.07932573572469624,exit_model_urgent
CCHHL,3007,2016-07-01,13.3,2016-08-04,12.3,,-3167.8559275652005,-0.07921006192481204,exit_model_urgent
ARCHIDPLY,780,2016-07-01,51.25,2016-08-17,46.65,,-3748.7831277000005,-0.09377818956097562,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-08-18,218.05,,15120.7770506386,0.379105088463051,exit_model_urgent
BFINVEST,341,2016-07-01,117.2977211069,2016-08-19,161.6145415084,,14951.158017953836,0.3737927537045605,exit_model_urgent
BBTC,96,2016-07-01,413.7610375472,2016-09-07,574.325752236,,15254.45085405789,0.3840393737209803,exit_model_urgent
ASTRAL,185,2016-07-01,215.5360413046,2016-09-15,197.5654375099,,-3484.939272696436,-0.0873984205524186,exit_model_urgent
BALAMINES,149,2016-07-01,267.22608569,2016-10-04,310.0141016448,,6215.267999949887,0.156097066443375,signal
CAPLIPOINT,38,2016-07-01,1049.3634660595,2016-10-04,1354.63906349,,11440.088519085642,0.2868929315397944,signal
ATLASCYCLE,138,2016-10-04,302.4,2016-10-17,420.0,,16060.9532743296,0.3848667968888889,exit_model_urgent
CARBORUNIV,148,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3287.4495071719866,-0.07905619841224953,exit_model_urgent
AIAENG,32,2016-10-04,1271.7203303297,2016-11-11,1175.2552912609,,-3250.560487540999,-0.079876064581999,exit_model_urgent
CERA,17,2016-10-04,2435.2832749962,2016-11-11,2167.4752701263,,-4719.249950215926,-0.11399205221759216,exit_model_urgent
GENESYS,451,2016-10-04,92.6,2016-11-21,85.2,,-3505.373019359191,-0.08393569891144687,exit_model_urgent
DBCORP,105,2016-10-04,395.0,2016-11-24,362.75,,-3553.0662656999993,-0.08566766162025315,exit_model_urgent
GREENPLY,153,2016-10-04,272.3,2016-11-24,247.5,,-3961.9679946948017,-0.09509811109658468,exit_model_urgent
AMBIKCO,47,2016-10-04,874.65,2017-01-04,1041.35,,7496.901719913403,0.18236842992305505,signal
FACT,1603,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,16847.43242508376,0.40246645761710764,exit_model_urgent
CYBERTECH,467,2017-01-04,89.55,2017-02-10,81.5,,-3927.5532841261956,-0.09391600601451693,exit_model_urgent
EMMBI,297,2017-01-04,140.55,2017-02-15,128.35,,-3791.2955940882093,-0.09082394187548937,exit_model_urgent
ATULAUTO,93,2017-01-04,446.7,2017-03-02,408.6,,-3710.390170165192,-0.08931423437743433,exit_model_urgent
APARINDS,66,2017-01-04,627.3038590691,2017-04-07,761.2553320657,,8674.274344788959,0.20951313667750243,signal
CHAMBLFERT,642,2017-01-04,65.1595722552,2017-04-07,71.4519832989,,3871.473946120539,0.09254715831759767,signal
CHENNPETRO,153,2017-01-04,272.7274416405,2017-04-07,322.0404186238,,7377.054444680885,0.1767920449518022,signal
DHANBANK,1186,2017-04-07,36.5,2017-04-19,33.3,,-3969.3123405880033,-0.0916933248767124,exit_model_urgent
AROGRANITE,523,2017-04-07,82.75,2017-04-25,75.7,,-3861.2191030989998,-0.0892184666223565,exit_model_urgent
BEDMUTHA,1239,2017-04-07,34.95,2017-05-19,48.7,,16862.081149019403,0.38939707824320463,exit_model_urgent
BIRLACABLE,960,2017-04-07,45.1,2017-05-23,40.5,,-4590.140495232001,-0.10601765741019957,exit_model_urgent
BANSWRAS,462,2017-04-07,93.725,2017-05-26,84.825,,-4285.960404587393,-0.09898074764150425,exit_model_urgent
EXCELINDUS,107,2017-04-07,404.7,2017-05-29,370.35,,-3849.6182476667964,-0.0888997791756856,exit_model_urgent
AVTNPL,951,2017-04-07,45.5,2017-05-30,41.25,,-4215.787931886,-0.0974286854065934,exit_model_urgent
GOACARBON,339,2017-04-07,127.45,2017-06-15,175.15,,15996.523302989393,0.37024232541859536,exit_model_urgent
ASHOKA,255,2017-01-04,163.85,2017-07-10,188.45,,6104.949957579003,0.14611522872017096,signal
DONEAR,582,2017-07-10,74.6,2017-07-13,68.55,,-3695.727972782399,-0.08512128771045574,exit_model_urgent
ACCELYA,32,2017-07-10,1339.05,2017-10-10,1486.5,,4366.0866466368025,0.10189328830693409,signal
GENUSPAPER,5146,2017-10-10,8.45,2017-10-11,7.65,,-4291.695441900396,-0.09869664821301767,exit_model_urgent
ARIES,257,2017-10-10,168.7,2017-10-17,247.9,,20180.01858145721,0.46545034427741583,exit_model_urgent
CORALFINAC,446,2017-10-10,97.3,2017-10-17,87.4,,-4589.941900013597,-0.10576926568961967,exit_model_urgent
DWARKESH,552,2017-10-10,78.75,2017-10-26,72.75,,-3486.8403392399996,-0.08021256819047617,exit_model_urgent
ALMONDZ,9368,2017-10-10,4.6416666667,2017-10-30,4.1916666667,,-4390.493162716193,-0.10097002736734696,exit_model_urgent
GEECEE,259,2017-10-10,167.3,2017-11-06,152.3,,-4059.2800618244,-0.09368138668021517,exit_model_urgent
DHAMPURSUG,143,2017-10-10,302.5,2017-11-13,279.4,,-3477.285644690004,-0.08038572836363646,exit_model_urgent
CYBERTECH,608,2017-10-10,71.45,2017-11-15,64.8,,-4217.926111827197,-0.09709417037648699,exit_model_urgent
GHCL,183,2017-10-10,236.4,2018-01-03,324.4,,15929.999473569595,0.36822833101184416,exit_model_urgent
COCHINSHIP,176,2017-10-10,245.7849467928,2018-01-09,229.1630552404,,-3099.4411748283674,-0.07164987705883216,signal
ARROWGREEN,80,2018-01-09,541.6,2018-01-16,500.9,,-3430.2692021760013,-0.07916980248744464,exit_model_urgent
