ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
CYBERTECH,647,2016-07-01,61.75,2016-07-12,57.45,,-2942.7916251069983,-0.07365771953036433,exit_model_urgent
ASHOKA,235,2016-07-01,169.9,2016-07-15,158.8,,-2769.088056237997,-0.0693546405579752,exit_model_urgent
BBTC,96,2016-07-01,413.7610375472,2016-07-18,385.9324287571,,-2831.308199916508,-0.07127977521509837,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-07-19,23.65,,-3775.1354148960017,-0.09440670738461543,exit_model_urgent
DTIL,180,2016-07-01,221.6333333333,2016-08-03,201.3333333333,,-3814.4573382479794,-0.09561481270989505,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-08-04,208.95,,12818.477050638598,0.32138228478401515,exit_model_urgent
ASTRAL,185,2016-07-01,215.5360413046,2016-09-14,200.345543295,,-2970.6197024529392,-0.07449985487276468,exit_model_urgent
BASML,153,2016-07-01,261.15,2016-10-04,341.25,,11926.7785031526,0.29849818370361864,signal
CEMPRO,278,2016-07-01,143.7641786056,2016-10-04,142.3215622805,,-561.7960436162102,-0.014056694076068226,signal
GANDHITUBE,152,2016-07-01,261.85,2016-10-04,312.25,,7333.550871889594,0.1842545167454648,signal
GMBREW,61,2016-10-04,662.85,2016-10-07,587.0,,-4789.478664614202,-0.11845220439345257,exit_model_urgent
ATLASCYCLE,133,2016-10-04,302.4,2016-10-14,403.45,,13277.884677433598,0.3301379609100529,exit_model_urgent
CARBORUNIV,144,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3198.5995204916617,-0.07905619841224952,exit_model_urgent
GHCL,147,2016-10-04,275.1,2016-11-04,255.05,,-3110.002193852408,-0.07690468014976391,exit_model_urgent
AIAENG,31,2016-10-04,1271.7203303297,2016-11-11,1175.2552912609,,-3148.9804723053458,-0.07987606458199908,exit_model_urgent
GENESYS,437,2016-10-04,92.6,2016-11-21,85.2,,-3396.558779290397,-0.08393569891144702,exit_model_urgent
AARTIIND,244,2016-10-04,165.4104905228,2017-01-04,170.7305321773,,1135.757888299937,0.028140569737386736,signal
GAIL,777,2016-10-04,52.1000863856,2017-01-04,56.9806262209,,3629.358060342405,0.08965414107144724,signal
GSFC,469,2016-10-04,86.25,2017-01-04,102.6,,7505.451350984993,0.1855431253913042,signal
FACT,1562,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,16416.524920761593,0.4024664576171076,exit_model_urgent
ANANTRAJ,896,2017-01-04,45.5451778656,2017-01-24,42.548784585,,-2848.903837814105,-0.06981156568351732,exit_model_urgent
GOACARBON,361,2017-01-04,113.0,2017-01-31,102.8,,-3846.273198956005,-0.09428757872566385,exit_model_urgent
EMMBI,290,2017-01-04,140.55,2017-02-07,130.55,,-3063.9384588739995,-0.07517114927499109,exit_model_urgent
ATULAUTO,91,2017-01-04,446.7,2017-02-16,416.55,,-2907.1468331723954,-0.07151705506245792,exit_model_urgent
DCBBANK,364,2017-01-04,111.95,2017-02-20,152.7,,14669.100555418394,0.3599796945118355,exit_model_urgent
CHAMBLFERT,626,2017-01-04,65.1595722552,2017-04-07,71.4519832989,,3774.988614129994,0.0925471583175976,signal
DEEPAKFERT,185,2017-01-04,220.0739903299,2017-04-07,253.0875711035,,5943.758243471915,0.14598918704352204,signal
BEDMUTHA,1199,2017-04-07,34.95,2017-04-13,32.55,,-3046.145966364609,-0.07269161989699592,exit_model_urgent
BPL,496,2017-04-07,84.55,2017-04-18,77.25,,-3789.473667785598,-0.0903615361159077,exit_model_urgent
DHANBANK,1148,2017-04-07,36.5,2017-04-18,33.85,,-3210.733698983997,-0.07662483172602733,exit_model_urgent
AVTNPL,921,2017-04-07,45.5,2017-05-23,42.5,,-2931.547776305997,-0.06995615793406587,exit_model_urgent
BIRLACABLE,929,2017-04-07,45.1,2017-05-23,40.5,,-4441.917208406805,-0.10601765741019967,exit_model_urgent
BANSWRAS,447,2017-04-07,93.725,2017-05-26,84.825,,-4146.805845996896,-0.09898074764150432,exit_model_urgent
EXCELINDUS,103,2017-04-07,404.7,2017-05-29,370.35,,-3705.7072851371922,-0.0888997791756855,exit_model_urgent
AHLUCONT,122,2017-04-07,342.85,2017-06-16,317.1,,-3309.7348575483993,-0.07912782336940351,exit_model_urgent
GENUSPAPER,4827,2017-10-10,8.45,2017-10-11,7.65,,-4025.653691809792,-0.09869664821301756,exit_model_urgent
CORALFINAC,419,2017-10-10,97.3,2017-10-16,90.2,,-3138.8754621203916,-0.07699228727235334,exit_model_urgent
BLUESTARCO,105,2017-10-10,386.7077278564,2017-11-02,343.2579572499,,-4725.540189830186,-0.11638025677563288,exit_model_urgent
GEECEE,243,2017-10-10,167.3,2017-11-02,156.3,,-2836.513725958801,-0.06977224143215782,exit_model_urgent
DHAMPURSUG,134,2017-10-10,302.5,2017-11-13,279.4,,-3258.4354992200024,-0.08038572836363642,exit_model_urgent
CYBERTECH,570,2017-10-10,71.45,2017-11-14,66.2,,-3156.305729838001,-0.07750004861301611,exit_model_urgent
DLINKINDIA,324,2017-10-10,125.75,2017-11-14,116.95,,-3015.0720943559936,-0.07400221128429407,exit_model_urgent
COCHINSHIP,165,2017-10-10,245.7849467928,2017-12-18,228.8409255591,,-2958.877498816102,-0.07296049304855591,exit_model_urgent
GHCL,172,2017-10-10,236.4,2017-12-18,312.8,,12977.258521606396,0.3191589570693738,exit_model_urgent
ALKYLAMINE,180,2017-10-10,226.0638843671,2018-01-09,286.4629357283,,10708.164291671666,0.263154823632925,signal
GOCLCORP,59,2018-01-09,682.1,2018-01-12,632.15,,-3108.914668238802,-0.07725182371089287,exit_model_urgent
ALICON,55,2018-01-09,729.65,2018-01-16,673.15,,-3268.9095685290013,-0.08145647834961971,exit_model_urgent
AARTIDRUGS,211,2018-01-09,192.5875,2018-01-18,178.9875,,-3033.0415796835514,-0.07463934389848773,exit_model_urgent
COALINDIA,271,2018-01-09,149.7728037279,2018-01-18,139.4283574911,,-2966.595329005213,-0.0730896795681228,exit_model_urgent
ALKALI,446,2018-01-09,91.0,2018-01-24,83.45,,-3530.540625911999,-0.08698912496703294,exit_model_urgent
ASTRAL,107,2018-01-09,377.9792371244,2018-01-30,344.6798472923,,-3725.7033094757426,-0.09212055498816814,exit_model_urgent
EIHAHOTELS,149,2018-01-09,272.625,2018-01-30,253.75,,-2975.756901893503,-0.0732563881944063,exit_model_urgent
ARVSMART,191,2018-01-09,212.45,2018-01-31,197.65,,-2990.0082480713972,-0.07368554222358195,exit_model_urgent
FMGOETZE,69,2018-01-09,581.55,2018-01-31,534.35,,-3418.1942845793965,-0.08518450279872745,exit_model_urgent
CTE,449,2018-01-09,90.4,2018-02-01,84.5,,-2812.355105443203,-0.06928757872566378,exit_model_urgent
AMRUTANJAN,126,2018-04-13,310.55,2018-04-20,289.05,,-2866.381644495603,-0.07325409972822418,exit_model_urgent
DPSCLTD,1369,2018-04-13,28.75,2018-04-23,26.75,,-2896.304513504998,-0.0735873093913043,exit_model_urgent
GRAVITA,229,2018-04-13,171.6386200834,2018-05-17,157.4217075038,,-3413.762288175225,-0.08685259117723614,exit_model_urgent
ESCORTS,42,2018-04-13,920.8241679685,2018-05-18,852.8961116124,,-3008.5312267706977,-0.07779085124744815,exit_model_urgent
GNA,150,2018-04-13,261.7240659471,2018-05-24,239.9799193453,,-3419.5237310479934,-0.08710251688608954,exit_model_urgent
ABBOTINDIA,6,2018-04-13,6252.9204423703,2018-07-12,6877.6194179597,,3597.2949258090302,0.0958830613354539,signal
BAJAJELEC,68,2018-07-12,564.0,2018-07-16,524.2,,-2860.6552723839923,-0.07458946788652462,exit_model_urgent
DCBBANK,213,2018-07-12,182.6,2018-07-16,161.75,,-4597.484441829598,-0.11820610076232198,exit_model_urgent
ARE&M,49,2018-07-12,780.2520817308,2018-07-18,728.5604985838,,-2686.66161134273,-0.07027194170541164,exit_model_urgent
GMRAIRPORT,2161,2018-07-12,18.0,2018-09-21,16.2,,-4046.251334616005,-0.10402209200000012,exit_model_urgent
ARMANFIN,111,2018-04-13,354.2,2018-09-28,340.15,,-1717.6833734903994,-0.043688946884246176,exit_model_urgent
ATUL,11,2018-10-16,3329.5156296473,2018-10-17,3192.5642670529,,-1653.77278849508,-0.04515461030834867,exit_model_urgent
ESABINDIA,41,2018-10-16,931.05,2018-10-17,891.45,,-1777.135519020594,-0.046554716456258916,exit_model_urgent
FEDERALBNK,471,2018-10-16,81.1586997944,2018-10-17,78.0276538134,,-1628.4701306796924,-0.042601393897786576,exit_model_urgent
GRAPHITE,43,2018-10-16,889.1670864507,2018-10-23,844.4707040562,,-2075.7258514417917,-0.05428978979897615,exit_model_urgent
BHAGERIA,120,2018-10-16,316.9,2018-10-25,296.35,,-2618.952114576001,-0.06886904687535503,exit_model_urgent
AJMERA,4929,2019-01-17,7.684,2019-01-21,7.112,,-2971.7224660401116,-0.07846248762727745,exit_model_urgent
CAPLIPOINT,91,2019-01-17,414.306090408,2019-01-21,380.5550629722,,-3222.9838229298985,-0.08548608255481588,exit_model_urgent
