ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BPCL,111,2020-01-03,178.9480241221,2020-01-07,170.6205566087,,-1004.2406351897371,-0.050557769352424745,exit_model_urgent
AMBIKCO,23,2020-01-03,849.9,2020-01-10,839.35,,-403.37298778839977,-0.020635317085304142,signal
COLPAL,15,2020-01-03,1272.3495649791,2020-01-10,1270.9116356762,,-98.33154464108884,-0.005152228986311324,signal
DBCORP,148,2020-01-03,134.5,2020-01-10,134.8,,-35.66376335199675,-0.001791608728624372,signal
GHCL,107,2020-01-03,185.5,2020-01-10,188.3,,219.76750693800204,0.011072247622641612,signal
GNFC,117,2020-01-03,170.2,2020-01-10,189.1,,2131.2064731672035,0.10702373643713298,signal
APARINDS,52,2020-01-03,384.4077727238,2020-01-17,420.6095637254,,1802.0947138578704,0.09015339967927803,signal
AXISCADES,373,2020-01-10,53.5,2020-01-17,56.65,,1010.8740430940015,0.05065641267289727,signal
CAPLIPOINT,68,2020-01-03,290.3566650132,2020-01-17,296.1774943826,,316.40319419345906,0.01602507781142988,signal
CASTROLIND,201,2020-01-10,99.4029355615,2020-01-17,108.1438088384,,1676.5541705253163,0.08391166194323312,signal
CENTRALBK,1169,2020-01-10,17.1079901645,2020-01-17,17.2043732076,,32.23299215352381,0.0016117108122088973,signal
DCAL,245,2020-01-10,81.4,2020-01-17,84.25,,618.0374192439995,0.030990193012284985,signal
DIAMONDYD,23,2020-01-10,849.95,2020-01-17,822.1,,-801.2824431942026,-0.040988725331372565,signal
DOLLAR,152,2020-01-10,130.85,2020-01-17,138.95,,1067.669167793596,0.053680850300343703,signal
