ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ARE&M,3,2016-08-04,816.1745641696,2016-09-06,964.8236356926,,436.0990270135494,0.178106925551827,signal
BANCOINDIA,52,2016-08-04,57.4213074508,2016-09-06,65.0557341195,,384.9805901433747,0.12893250286430816,signal
CCL,12,2016-08-04,236.8173275107,2016-09-06,245.8976065424,,97.53333543909412,0.0343208752446149,signal
COMPUSOFT,262,2016-08-04,11.4337443382,2016-09-06,10.6912934071,,-219.15257998572815,-0.07315715693926769,signal
DELTACORP,28,2016-08-04,103.7107412275,2016-09-06,143.4869718256,,1102.0547007538544,0.3795083902559007,signal
DISHTV,31,2016-08-04,96.2713789108,2016-09-06,94.8876013905,,-54.90068576062913,-0.01839580863266753,signal
EDELWEISS,31,2016-08-04,94.627712632,2016-09-06,106.4916266532,,355.98269231258064,0.12135253337362459,signal
ENIL,4,2016-08-04,713.3516785102,2016-09-06,800.8167728498,,326.39940484213867,0.11438937296811574,signal
GOCLCORP,15,2016-08-04,193.0842329078,2016-09-06,243.73616538,,735.9656421822397,0.25410866235210133,signal
AHLUCONT,9,2016-09-06,317.157345576,2016-10-06,302.2164213082,,-145.9490426116422,-0.051130962332690204,signal
AJMERA,540,2016-09-06,5.7212732765,2016-10-06,5.5371537097,,-124.82661709972308,-0.04040366381134254,signal
AKSHOPTFBR,177,2016-09-06,17.4,2016-10-06,22.65,,916.8627610583999,0.2977020459310345,signal
BALPHARMA,35,2016-09-06,87.4315262504,2016-10-06,116.5427507154,,1006.5848387952169,0.32893817660639213,signal
BEPL,237,2016-09-06,13.0404712487,2016-10-06,12.4634592466,,-162.16297367394918,-0.05246987960641194,signal
BROOKS,26,2016-09-06,119.0,2016-10-06,114.55,,-128.14435264800022,-0.04141704998319335,signal
CAMLINFINE,33,2016-09-06,92.4,2016-10-06,86.9,,-193.76416292639988,-0.06354590152380948,signal
CANFINHOME,9,2016-09-06,315.7768565985,2016-10-06,329.0749207866,,108.2518255745108,0.038090127151665445,signal
GICHSGFIN,10,2016-09-06,289.3488739096,2016-10-06,294.4290449783,,39.16383277739169,0.013535159908597907,signal
ALKALI,38,2016-10-06,81.8517249524,2016-11-08,77.9563424443,,-173.5982469986584,-0.05581281180908546,signal
ATLASCYCLE,22,2016-09-06,137.8,2016-11-08,176.525,,839.7566258928,0.2770011300609579,signal
DATAMATICS,35,2016-10-06,87.4357314119,2016-11-08,76.9200755183,,-380.35656572990865,-0.12428935257865206,signal
DBREALTY,64,2016-10-06,48.7,2016-11-08,45.6,,-210.93605634560026,-0.06767712280082143,signal
ELGIRUBCO,84,2016-10-06,37.4423396226,2016-11-08,37.9363018868,,15.633063862729614,0.004970520138527875,signal
EVERESTIND,11,2016-10-06,269.3580033067,2016-11-08,221.1103609562,,-542.6412752280949,-0.1831429711207279,signal
EXCELINDUS,8,2016-10-06,357.1751429633,2016-11-08,404.8590463468,,369.9784967871078,0.12948076877550357,signal
GAEL,275,2016-10-06,11.4051830822,2016-11-08,11.8616371374,,112.90987388080066,0.035999541314451995,signal
GOACARBON,24,2016-10-06,130.8491439315,2016-11-08,108.16862565,,-556.9633338363296,-0.17735542533363902,signal
ADFFOODS,96,2016-11-08,32.2778103156,2016-12-08,27.7950410662,,-442.80898291659787,-0.14290292702471855,signal
ASHOKLEY,75,2016-11-08,41.2974165,2016-12-08,35.0634195679,,-480.00742054689863,-0.15497577047284097,signal
CEMPRO,21,2016-11-08,147.2463559421,2016-12-08,145.903230398,,-40.642642621641244,-0.013143713621849424,signal
CGPOWER,38,2016-11-08,81.9415993549,2016-12-08,61.1474984939,,-802.6997454648367,-0.2577894217165945,signal
CTE,25,2016-11-08,120.4,2016-12-08,100.5,,-522.24849692,-0.17350448402657806,signal
EMKAY,43,2016-11-08,72.2864470498,2016-12-08,58.7731043711,,-606.6306053579533,-0.19516367275566107,signal
FMGOETZE,6,2016-11-08,518.85,2016-12-08,502.3,,-111.82117460520021,-0.03591955754880993,signal
GENESYS,27,2016-11-08,114.15,2016-12-08,99.2,,-428.99089864860025,-0.1391901165291284,signal
ARCHIES,105,2016-12-08,28.85,2017-01-06,23.95,,-539.4067721910001,-0.17806611279722706,signal
ARROWGREEN,5,2016-12-08,538.8374967496,2017-01-06,499.7603579787,,-206.2219637793828,-0.07654328624988584,signal
BASF,2,2016-12-08,1083.6236777351,2017-01-06,1111.6727361819,,47.381248643142044,0.021862409255478055,signal
DENORA,11,2016-12-08,260.6001180316,2017-01-06,242.2171236608,,-225.78239768113372,-0.07876309754386905,signal
FACT,121,2016-12-08,24.9177731017,2017-01-06,26.9111949498,,216.41402065194643,0.07177790799855527,signal
