ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
APTECHT,90,2016-08-04,44.0243436824,2016-11-08,116.9242456799,,6545.054883327279,1.6518777102415454,signal
BALMLAWRIE,336,2016-08-04,11.8725709603,2016-11-08,17.7413104806,,1939.0970422615296,0.4860886634315016,signal
BANCOINDIA,69,2016-08-04,57.4213074508,2016-11-08,57.3560022999,,-20.441866323691556,-0.005159390222545104,signal
BASML,29,2016-08-04,135.675,2016-11-08,150.85,,407.7245623690992,0.10362607457453453,signal
BEDMUTHA,141,2016-08-04,28.35,2016-11-08,24.95,,-512.2665794562004,-0.1281515452627867,signal
BLS,6605,2016-08-04,0.6055170021,2016-11-08,1.0907084659,,3171.8058564242247,0.793062532737707,signal
CCL,16,2016-08-04,236.8173275107,2016-11-08,229.4807269931,,-132.62562553667476,-0.03500209078099511,signal
CGPOWER,51,2016-08-04,77.9902262696,2016-11-08,81.9415993549,,185.52215022728615,0.04664288583505251,signal
DELTACORP,38,2016-08-04,103.7107412275,2016-11-08,153.490009651,,1875.7611026740033,0.4759597096371531,signal
DHAMPURSUG,35,2016-08-04,113.5054332148,2016-11-08,100.8132684501,,-460.20429208564246,-0.11584197942936289,signal
EDELWEISS,42,2016-08-04,94.627712632,2016-11-08,105.1681621409,,426.71362200367,0.10736651938798736,signal
FORTIS,21,2016-08-04,185.8805101196,2016-11-08,169.1041116095,,-368.00456747896715,-0.09427576356193869,signal
GOCLCORP,20,2016-08-04,193.0842329078,2016-11-08,305.9189986086,,2241.1632630459085,0.5803589524878736,signal
ASAHIINDIA,23,2016-11-08,200.3700103025,2017-02-07,200.1219662194,,-43.596609062506104,-0.009460022180896407,signal
ASHOKLEY,111,2016-11-08,41.2974165,2017-02-07,42.332665088,,96.47527032169,0.02104602789074432,signal
BAJAJHLDNG,2,2016-11-08,1995.5690725155,2017-02-07,1855.097725855,,-296.9954181250241,-0.07441371541969447,signal
CTE,38,2016-11-08,120.4,2017-02-07,92.85,,-1084.5177153184,-0.23704269000664452,signal
ACE,85,2017-02-07,53.4859088974,2017-05-12,65.7098339719,,1020.7479853979376,0.22452268411942025,signal
ALKYLAMINE,32,2017-02-07,142.3880112597,2017-05-12,178.4316330263,,1135.0695707397272,0.24911454111766074,signal
ASTRAL,23,2017-02-07,197.7522738343,2017-05-12,265.3311706088,,1536.0209355263723,0.33771302671284714,signal
AVTNPL,131,2017-02-07,34.9231050346,2017-05-12,45.0305907804,,1305.6798563796983,0.28539907303632855,signal
BEDMUTHA,154,2017-02-07,29.6,2017-05-12,41.75,,1833.6204158271994,0.4022508809729728,signal
BHAGERIA,24,2017-02-07,183.5170599819,2017-05-12,164.0022519594,,-486.07033251160055,-0.11035993342152609,signal
BHEL,70,2017-02-07,64.7714694071,2017-05-12,73.1524773039,,568.4343761508626,0.12537141988906816,signal
BROOKS,29,2017-02-07,153.4,2017-05-12,129.65,,-706.6426784711998,-0.15884608156975222,signal
CENTRALBK,51,2017-02-07,88.7205912472,2017-05-12,110.4549674843,,1090.2542266972769,0.2409534647627139,signal
CERA,1,2017-02-07,2350.5292381808,2017-05-12,2868.5741500251,,508.590866999647,0.21637291667695768,signal
DBL,17,2017-02-07,262.9835912315,2017-05-12,446.388577262,,3099.9031111453005,0.6933787806995126,signal
EIDPARRY,16,2017-02-07,273.0531262345,2017-05-12,311.6734695642,,600.3535765615561,0.1374168428413195,signal
FILATEX,1209,2017-02-07,3.7878791419,2017-05-12,6.5239782502,,3289.5244670768334,0.7183080050810732,signal
FSL,129,2017-02-07,35.4725509505,2017-05-12,31.5586225645,,-523.3016901722899,-0.11435890965547875,signal
GPPL,38,2017-02-07,119.0734183149,2017-05-12,119.2592962704,,-11.135758933246507,-0.002461055472028417,signal
GSPL,29,2017-02-07,155.1017382121,2017-05-12,161.5351737015,,168.47845883957962,0.037456717738433405,signal
ADFFOODS,94,2017-05-12,56.226466911,2017-08-10,38.3234657125,,-1704.1400267975932,-0.32243088028183137,signal
AHLUCONT,13,2017-05-12,399.1075656397,2017-08-10,264.739186523,,-1767.6571440267858,-0.34069418414972125,signal
AKSHARCHEM,5,2017-05-12,905.8327235689,2017-08-10,692.4258328606,,-1085.2511662955226,-0.23961403426004088,signal
ARE&M,6,2017-05-12,861.6157853454,2017-08-10,744.4081319543,,-724.0389080904688,-0.14005448066395007,signal
BAJAJ-AUTO,2,2017-05-12,2565.3162327109,2017-08-10,2387.2261880678,,-376.8159650803127,-0.07344434972099174,signal
CAPLIPOINT,11,2017-05-12,460.5792381679,2017-08-10,643.5685043092,,1992.504514793086,0.39328037189133336,signal
CARBORUNIV,18,2017-05-12,283.7875937394,2017-08-10,315.8182965886,,556.0070946969863,0.1088464884306636,signal
COFORGE,312,2017-05-12,16.9216775612,2017-08-10,15.2516485186,,-542.2839510021904,-0.10271378710883708,signal
CROMPTON,23,2017-05-12,223.8953271026,2017-08-10,205.3955013463,,-446.2081272863652,-0.08664921064380472,signal
DLF,27,2017-05-12,194.474599995,2017-08-10,153.638200908,,-1123.7020331357635,-0.21400529334377405,signal
DUCON,119,2017-05-12,44.3181818182,2017-08-10,27.2727272727,,-2071.771282928155,-0.39283747661625257,signal
DYNAMATECH,1,2017-05-12,2848.0966350462,2017-08-10,2203.7719944654,,-667.7419531390401,-0.2344520003016711,signal
EVERESTIND,18,2017-05-12,288.3018628799,2017-08-10,303.3977509773,,250.8536066602619,0.04833930430387545,signal
GOKUL,167,2017-05-12,31.65,2017-08-10,22.65,,-1546.4582783706005,-0.2925822815734598,signal
GOKULAGRO,334,2017-05-12,15.825,2017-08-10,11.075,,-1629.9582783706005,-0.30838006988309646,signal
GREENPLY,18,2017-05-12,291.039567209,2017-08-10,268.1258174064,,-433.5180789159849,-0.08275279525913871,signal
DWARKESH,80,2017-08-10,61.2273871936,2017-11-13,57.357484617,,-329.2931808649819,-0.06722750960770264,signal
ACE,57,2017-11-13,95.0472541507,2018-02-12,174.5277139208,,4508.5957452648345,0.832198380440809,signal
AHLWEST,17,2017-11-13,305.2771752775,2018-02-12,253.4620257552,,-923.5278312298396,-0.17795358101551362,signal
ALKEM,2,2017-11-13,1861.2573411391,2018-02-12,2039.0829872756,,340.6789957495266,0.09151850961700685,signal
AMDIND,113,2017-11-13,48.1,2018-02-12,38.15,,-1169.0395366476005,-0.21508279886070694,signal
APLLTD,11,2017-11-13,477.7377749557,2018-02-12,517.9317245808,,420.9968877658821,0.0801118235749766,signal
ARE&M,7,2017-11-13,733.1059653773,2018-02-12,791.3175110324,,386.84048211622576,0.07538190742747822,signal
AUSOMENT,91,2017-11-13,59.3710304541,2018-02-12,93.795424456,,3088.1978333908155,0.5715959394305588,signal
BALKRISIND,11,2017-11-13,477.5332478181,2018-02-12,1070.0254109424,,6496.286285153685,1.2367128009764776,signal
BRNL,29,2017-11-13,182.4437755017,2018-02-12,178.8047655349,,-149.03330474026734,-0.028168017569634413,signal
CALSOFT,112,2017-11-13,48.35,2018-02-12,69.95,,2374.675727401601,0.4385204105853156,signal
CEMPRO,26,2017-11-13,208.731658626,2018-02-12,189.629428666,,-518.4859652519654,-0.09553782126571181,signal
CERA,1,2017-11-13,3420.465828232,2018-02-12,3305.3771104713,,-128.8461460047056,-0.03766918088794493,signal
EVEREADY,14,2017-11-13,370.8634943458,2018-02-12,374.8897566487,,35.484612928796196,0.006834361558477918,signal
GLOBUSSPR,43,2017-11-13,126.5799908477,2018-02-12,140.7930023396,,566.4071439570162,0.10406272803131916,signal
GODFRYPHLP,16,2017-11-13,334.8293068319,2018-02-12,286.580333281,,-793.5310052363866,-0.14812230236516757,signal
ABBOTINDIA,1,2017-11-13,4781.3655399905,2018-05-17,6395.9128799471,,1595.3162478691283,0.33365285179018084,signal
AGRITECH,138,2016-08-04,28.8,2018-05-17,123.9,,13091.1221175552,3.2938612413333335,signal
