ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ADANIPOWER,49,2023-08-18,60.92,2023-09-18,75.0,,677.91373361264,0.22710069197898886,signal
ASIANTILES,54,2023-08-18,54.8,2023-09-18,62.3,,393.0978253536,0.13283922186861316,signal
AUSOMENT,40,2023-08-18,73.3894812542,2023-09-18,75.9150302042,,76.88535533182721,0.026190863464996605,signal
BFINVEST,6,2023-08-18,453.1957406403,2023-09-18,491.4960390667,,218.86502078121976,0.0804895108060795,signal
BFUTILITIE,5,2023-08-18,592.35,2023-09-18,642.65,,239.58756901900006,0.08089392049261418,signal
BLAL,16,2023-08-18,186.8,2023-09-18,170.6,,-271.2212285696005,-0.09074586073661686,signal
CELEBRITY,193,2023-08-18,15.5,2023-09-18,17.85,,441.5179117820003,0.14759081122580656,signal
GABRIEL,12,2023-08-18,243.864792092,2023-09-18,309.8685034543,,780.2743767953416,0.2666349011480703,signal
GMMPFAUDLR,1,2023-08-18,1503.9211389562,2023-09-18,1803.8782425084,,293.9081943705735,0.19542792953529542,signal
ADROITINFO,221,2023-09-18,13.9429861699,2023-10-19,9.8574654248,,-928.2356384917452,-0.30123828633000554,signal
ASAHISONG,11,2023-09-18,267.8445028294,2023-10-19,240.8759498787,,-320.8787460412336,-0.10890944106191924,signal
BANKINDIA,30,2023-09-18,102.5107495607,2023-10-19,96.530177116,,-191.78640331266251,-0.06236302180813387,signal
BCLIND,559,2023-09-18,5.5145609649,2023-10-19,5.1613678784,,-209.83359534460442,-0.06806945474529615,signal
CENTRALBK,61,2023-09-18,49.8782248457,2023-10-19,45.3000302946,,-291.50737097379124,-0.09580953161443691,signal
DHANBANK,100,2023-09-18,30.55,2023-10-19,29.75,,-92.28749105999987,-0.030208671378068697,signal
EASEMYTRIP,138,2023-09-18,22.2371212121,2023-10-19,20.4213383838,,-262.9207154369701,-0.08567757298519016,signal
ALEMBICLTD,35,2023-10-19,84.8889932911,2023-11-20,77.2812446013,,-278.2213010711466,-0.09364205796792743,signal
APCL,13,2023-10-19,217.1,2023-11-20,214.0,,-51.65155025159993,-0.01830122603961306,signal
AVTNPL,33,2023-10-19,91.6930693995,2023-11-20,86.3917570359,,-187.11364070807713,-0.06183793782475455,signal
CUPID,61338,2023-10-19,0.0495,2023-11-20,0.0878,,2337.033399584748,0.7697152817373737,signal
DVL,10,2023-10-19,283.1487114176,2023-11-20,314.4476764284,,301.6011484379692,0.10651687126810008,signal
AAATECH,40,2023-11-20,76.8508017796,2023-12-20,79.342467953,,87.30260713474672,0.028400031331202433,signal
AHLUCONT,3,2023-11-20,802.7123994536,2023-12-20,792.518591592,,-40.267172945229504,-0.016721295187267175,signal
BFINVEST,5,2023-11-20,541.3402333152,2023-12-20,502.2572978839,,-206.30127826497574,-0.07621871258360916,signal
CSLFINANCE,7,2023-11-20,396.8265029636,2023-12-20,429.9366215072,,220.59832088449502,0.07941517415113995,signal
DIAMONDYD,3,2023-11-20,978.2076961771,2023-12-20,957.8679325956,,-72.8226147918972,-0.024814980525605743,signal
DRCSYSTEMS,496,2023-11-20,6.2,2023-12-20,4.4433333333,,-883.6754040015999,-0.2873554253387096,signal
GATEWAY,30,2023-11-20,100.9004624021,2023-12-20,92.2720583743,,-271.02704911271394,-0.08953611069116142,signal
GLAXO,1,2023-11-20,1559.4860467203,2023-12-20,1596.8183229077,,31.05987983477462,0.019916741095629267,signal
GOCOLORS,2,2023-11-20,1221.65,2023-12-20,1286.05,,118.97282261639975,0.04869349757148109,signal
GOLDIAM,25,2023-11-20,120.3535799381,2023-12-20,118.2585507369,,-64.47755930600988,-0.021429378117101907,signal
CLEDUCATE,29,2023-12-20,102.7,2024-01-19,106.2,,89.52100339639992,0.030057752206426456,signal
COFFEEDAY,51,2023-12-20,59.75,2024-01-19,61.0,,51.49368015299979,0.016898410092050137,signal
EMAMIPAP,24,2023-12-20,123.8753175421,2024-01-19,130.5326295915,,147.81777901719488,0.049719946216268976,signal
GALLANTT,24,2023-12-20,123.1855725627,2024-01-19,178.5096261531,,1315.8861572275227,0.4450893781134395,signal
GREENPLY,13,2023-12-20,223.4964223661,2024-01-19,237.9735191913,,176.51625748604465,0.06075342732122501,signal
ALBERTDAVD,2,2024-01-19,1209.6409591592,2024-02-20,1350.7918314766,,272.571170185387,0.11266614614920381,signal
APOLLOPIPE,4,2024-01-19,725.3783185806,2024-02-20,743.6421662013,,61.385237154254355,0.021156283411658646,signal
BHARTIARTL,2,2024-01-19,1095.7005268633,2024-02-20,1114.1569935158,,28.098916658014787,0.012822352444446903,signal
CREST,8,2024-01-19,349.6614971809,2024-02-20,480.9276177961,,1038.8779992374452,0.3713870441889023,signal
DCMSRIND,58,2024-01-19,53.1665911789,2024-02-20,62.1613700744,,509.2944025182205,0.1651589424814757,signal
DIAMONDYD,2,2024-01-19,1307.5419517103,2024-02-20,1193.6492706237,,-238.3034702204768,-0.09112651028472527,signal
FILATEX,54,2024-01-19,57.016074528,2024-02-20,70.0667512911,,692.3530547569549,0.22487259903473542,signal
GICHSGFIN,12,2024-01-19,245.4548413323,2024-02-20,224.7588963932,,-260.19824271340667,-0.08833880307713673,signal
AARTECH,55,2024-02-20,57.8847866279,2024-03-20,50.3020624962,,-429.8548137904777,-0.13501893198913079,signal
ACI,4,2024-02-20,731.7770527225,2024-03-20,599.2392071257,,-541.9244809053553,-0.18513988614742083,signal
AIROLAM,16,2024-02-20,190.3,2024-03-20,158.5,,-533.8346257216003,-0.17532666372884928,signal
AVTNPL,29,2024-02-20,108.578731002,2024-03-20,79.789591582,,-847.5497388946651,-0.2691673847688913,signal
EMUDHRA,5,2024-02-20,555.6488158916,2024-03-20,614.0412241555,,280.78768803346475,0.10106660178260611,signal
ENIL,9,2024-02-20,336.1800661603,2024-03-20,270.8899166871,,-599.780669650765,-0.1982339327522349,signal
FAIRCHEMOR,2,2024-02-20,1426.2894199003,2024-03-20,1201.1013810929,,-461.8494121457311,-0.16190592375634924,signal
