ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BLAL,16,2023-08-18,186.8,2023-08-25,178.0,,-152.8212285696004,-0.051131299708779575,exit_model_urgent
CLSEL,13,2023-08-18,214.4675120557,2023-08-28,202.4260135739,,-167.75338510188885,-0.06016811787767547,exit_model_urgent
GABRIEL,12,2023-08-18,243.864792092,2023-08-28,318.1251106835,,879.3536635457413,0.3004922167464823,exit_model_urgent
ADANIPORTS,3,2023-08-18,824.8229514058,2023-08-31,781.7020482159,,-139.31525095249663,-0.05630107273932848,exit_model_urgent
DPABHUSHAN,7,2023-08-18,412.4128774169,2023-09-05,543.3629488523,,905.0391623031105,0.3134996892198066,exit_model_urgent
BFUTILITIE,5,2023-08-18,592.35,2023-09-07,793.1,,991.8375690190001,0.3348822719740019,exit_model_urgent
COCHINSHIP,14,2023-08-18,206.2622927444,2023-09-07,280.285478211,,1024.710113686715,0.35485681156348076,exit_model_urgent
ADANIPOWER,49,2023-08-18,60.92,2023-09-11,79.68,,907.2337336126402,0.3039227536992778,exit_model_urgent
DPWIRES,5,2023-08-18,581.525,2023-09-12,546.6125,,-186.25723525149988,-0.06405820394703576,exit_model_urgent
ASIANTILES,54,2023-08-18,54.8,2023-09-18,62.3,,393.0978253536,0.13283922186861316,signal
AUSOMENT,40,2023-08-18,73.3894812542,2023-09-18,75.9150302042,,76.88535533182721,0.026190863464996605,signal
BATAINDIA,1,2023-08-18,1697.7157351358,2023-09-18,1653.3281121023,,-51.21599191006385,-0.03016758980911907,signal
BFINVEST,6,2023-08-18,453.1957406403,2023-09-18,491.4960390667,,218.86502078121976,0.0804895108060795,signal
CELEBRITY,193,2023-08-18,15.5,2023-09-18,17.85,,441.5179117820003,0.14759081122580656,signal
ESCORTS,1,2023-08-18,2780.8199617056,2023-09-18,3092.0053318372,,300.0006564101841,0.10788208533506802,signal
GMMPFAUDLR,1,2023-08-18,1503.9211389562,2023-09-18,1803.8782425084,,293.9081943705735,0.19542792953529542,signal
GRAUWEIL,22,2023-08-18,133.4,2023-09-18,133.15,,-17.304035601599935,-0.00589615496851572,signal
CENTRALBK,63,2023-09-18,49.8782248457,2023-09-20,47.1794996366,,-182.65842114824363,-0.05812837219438537,exit_model_urgent
GMRP&UI,68,2023-09-18,46.25,2023-09-20,43.95,,-169.04947933999983,-0.05375182172972968,exit_model_urgent
ADROITINFO,227,2023-09-18,13.9429861699,2023-09-21,13.244425628,,-171.30339691182462,-0.05412330657396591,exit_model_urgent
ARENTERP,71,2023-09-18,44.4,2023-09-21,58.55,,991.9707571792001,0.3146716016936937,exit_model_urgent
ASAHISONG,11,2023-09-18,267.8445028294,2023-09-21,256.9476151981,,-131.7160114971157,-0.04470572566128397,exit_model_urgent
BANKBARODA,15,2023-09-18,203.5261979712,2023-09-21,193.9749340222,,-155.54797562475596,-0.05095100849433539,exit_model_urgent
BPL,37,2023-09-18,83.65,2023-09-21,78.9,,-188.19857584459987,-0.06080631196413624,exit_model_urgent
DHANBANK,103,2023-09-18,30.55,2023-09-21,29.0,,-172.30611579180004,-0.054758589545008195,exit_model_urgent
EASEMYTRIP,142,2023-09-18,22.2371212121,2023-09-22,21.2670454545,,-150.45120170009113,-0.047646253074957366,exit_model_urgent
GLOBE,737,2023-09-18,4.3,2023-09-27,5.75,,1055.9035882428002,0.33318721032558146,exit_model_urgent
BANKINDIA,30,2023-09-18,102.5107495607,2023-09-28,98.1654898938,,-142.7270199786626,-0.04641042381418716,exit_model_urgent
BCLIND,575,2023-09-18,5.5145609649,2023-09-29,5.2771202345,,-149.28196111575153,-0.04707914258141588,exit_model_urgent
CONCOR,5,2023-09-18,566.8524047903,2023-10-10,543.0810506304,,-130.25643341193927,-0.04595779511956944,exit_model_urgent
CANBK,234,2023-09-18,13.5483696493,2023-10-19,13.6102426604,,1.726971929399042,0.0005447313670608358,signal
DBSTOCKBRO,73,2023-10-19,43.35,2023-10-20,39.25,,-312.0281112386001,-0.0986011000738178,exit_model_urgent
ALEMBICLTD,37,2023-10-19,84.8889932911,2023-10-23,74.3922261116,,-401.0133452512546,-0.1276749564356123,exit_model_urgent
APCL,14,2023-10-19,217.1,2023-10-23,197.1,,-292.22474642479983,-0.09614553741685854,exit_model_urgent
APOLLO,41,2023-10-19,76.7507327517,2023-10-23,67.9620997235,,-372.9905929921847,-0.11853087534455163,exit_model_urgent
AVTNPL,34,2023-10-19,91.6930693995,2023-10-23,84.6737391403,,-251.196359482964,-0.08057455452709998,exit_model_urgent
AXITA,422,2023-10-19,7.5248116499,2023-10-23,7.0238255214,,-224.18818078667664,-0.07059998813998623,exit_model_urgent
CIGNITITEC,3,2023-10-19,994.8225905673,2023-10-23,953.0371496924,,-137.36012657352012,-0.046024999122436544,exit_model_urgent
DVL,11,2023-10-19,283.1487114176,2023-10-26,271.0956938358,,-145.11054523683424,-0.04658989151939728,exit_model_urgent
CUPID,64256,2023-10-19,0.0495,2023-11-02,0.0689,,1233.7734445941765,0.3878970999191921,exit_model_urgent
GKWLIMITED,2,2023-10-19,1481.6,2023-11-06,1934.8,,894.4817369856,0.3018634371576674,exit_model_urgent
GREENPOWER,137,2023-11-20,23.1,2023-11-21,21.95,,-170.2787145524003,-0.05380564178354987,exit_model_urgent
ALOKINDS,150,2023-11-20,21.1,2023-11-22,20.1,,-162.72992118000002,-0.05141545692890996,exit_model_urgent
APCOTEXIND,6,2023-11-20,526.677449203,2023-11-23,505.0684568573,,-142.3640250043195,-0.045050984310464684,exit_model_urgent
ARIES,15,2023-11-20,204.4050318358,2023-11-23,195.9605955267,,-138.99858228609764,-0.045334364174803736,exit_model_urgent
CSLFINANCE,8,2023-11-20,396.8265029636,2023-11-23,375.5449618967,,-183.020910158863,-0.057651425998521036,exit_model_urgent
BFINVEST,5,2023-11-20,541.3402333152,2023-11-24,519.4263971785,,-120.45578179197582,-0.044502800412338624,exit_model_urgent
AAATECH,41,2023-11-20,76.8508017796,2023-11-28,73.1865868188,,-162.90595418908424,-0.05170168513305006,exit_model_urgent
DOLATALGO,46,2023-11-20,68.8468012838,2023-11-28,65.0136821957,,-189.0612538113819,-0.059698158521945474,exit_model_urgent
DRCSYSTEMS,512,2023-11-20,6.2,2023-11-28,5.9333333333,,-149.30106219519985,-0.04703284469354834,exit_model_urgent
GATEWAY,31,2023-11-20,100.9004624021,2023-12-01,96.4212362675,,-151.43676939393708,-0.04841461536376573,exit_model_urgent
FLEXITUFF,76,2023-08-18,39.45,2023-12-11,52.2,,956.9409637655999,0.31917182434980984,exit_model_urgent
AHLUCONT,3,2023-11-20,802.7123994536,2023-12-20,792.518591592,,-40.267172945229504,-0.016721295187267175,signal
ARIHANTSUP,12,2023-11-20,251.5313318777,2023-12-20,246.8484352256,,-68.3349457175359,-0.022639640029272722,signal
CESC,35,2023-11-20,88.6972240124,2023-12-20,105.0266103819,,559.042329103213,0.18008047210298841,signal
DIAMONDYD,3,2023-11-20,978.2076961771,2023-12-20,957.8679325956,,-72.8226147918972,-0.024814980525605743,signal
EXIDEIND,11,2023-11-20,279.1420992438,2023-12-20,284.5378234533,,47.002879057951304,0.015307576380789174,signal
GLAXO,2,2023-11-20,1559.4860467203,2023-12-20,1596.8183229077,,62.11975966954924,0.019916741095629267,signal
GOCOLORS,2,2023-11-20,1221.65,2023-12-20,1286.05,,118.97282261639975,0.04869349757148109,signal
GOLDIAM,26,2023-11-20,120.3535799381,2023-12-20,118.2585507369,,-67.05666167824984,-0.021429378117101768,signal
GALLANTT,25,2023-12-20,123.1855725627,2023-12-26,168.8577678829,,1129.4182903570036,0.36673719717693176,exit_model_urgent
GEEKAYWIRE,654,2023-12-20,4.8566014435,2023-12-26,4.5724858197,,-198.58665633496094,-0.06252300608679545,exit_model_urgent
ARTNIRMAN,50,2023-12-20,63.25,2023-12-27,60.15,,-167.71986594999998,-0.053033949707509874,exit_model_urgent
EMAMIPAP,25,2023-12-20,123.8753175421,2023-12-28,118.3029007896,,-151.76636690458827,-0.04900616843319389,exit_model_urgent
CASTROLIND,24,2023-12-20,131.0964463209,2024-01-01,172.7229468022,,986.381244319783,0.3135036811960636,exit_model_urgent
BAGFILMS,385,2023-12-20,8.25,2024-01-02,11.0,,1045.9748302850003,0.32931124133333345,exit_model_urgent
CONSOFINVT,10,2023-12-20,301.05,2024-01-17,286.45,,-158.10850796600016,-0.05251901942069429,exit_model_urgent
BANARBEADS,35,2023-12-20,89.0812984551,2024-01-19,97.9265928757,,283.9500926227947,0.09107253632267005,signal
BLAL,17,2023-12-20,185.8,2024-01-19,204.4,,303.4958202087996,0.09608555062647996,signal
BSOFT,4,2023-12-20,678.037976263,2024-01-19,767.4986525929,,346.93418083950564,0.12791841791503705,signal
CLEDUCATE,30,2023-12-20,102.7,2024-01-19,106.2,,92.60793454799978,0.03005775220642641,signal
COFFEEDAY,53,2023-12-20,59.75,2024-01-19,61.0,,53.51304015899996,0.016898410092050196,signal
GREENPLY,14,2023-12-20,223.4964223661,2024-01-19,237.9735191913,,190.09443113881753,0.06075342732122508,signal
AGARIND,3,2024-01-19,1062.4731345395,2024-01-23,1016.3499615568,,-151.18961303203832,-0.04743323481698115,exit_model_urgent
AJMERA,139,2024-01-19,23.6046027969,2024-01-23,21.4175253116,,-317.2004143427903,-0.09667679600489994,exit_model_urgent
CREST,9,2024-01-19,349.6614971809,2024-01-23,315.1780166705,,-323.00866098827373,-0.10264170207551167,exit_model_urgent
FDC,7,2024-01-19,432.0376825964,2024-01-23,408.5839291869,,-176.34014101458706,-0.05830845255204943,exit_model_urgent
GICHSGFIN,13,2024-01-19,245.4548413323,2024-01-23,227.6553943305,,-244.22695642129065,-0.07653827014986529,exit_model_urgent
APOLLOPIPE,4,2024-01-19,725.3783185806,2024-01-29,693.9764443336,,-137.27765031654553,-0.047312432285392336,exit_model_urgent
DBCORP,11,2024-01-19,293.1181491609,2024-02-01,280.1502981682,,-155.61479071044323,-0.04826312937630246,exit_model_urgent
BLBLIMITED,122,2024-01-19,26.8,2024-02-02,37.4,,1280.0493679968,0.3915002960597015,exit_model_urgent
CINELINE,26,2023-08-18,111.4,2024-02-05,159.95,,1250.6504127311996,0.43179478412208244,exit_model_urgent
DEVIT,50,2023-12-20,63.2982382484,2024-02-08,60.6682831182,,-144.22732339364893,-0.0455707227830451,exit_model_urgent
DIAMONDYD,2,2024-01-19,1307.5419517103,2024-02-08,1254.4186871227,,-116.76463722247672,-0.044650436289919965,exit_model_urgent
ALBERTDAVD,2,2024-01-19,1209.6409591592,2024-02-20,1350.7918314766,,272.571170185387,0.11266614614920381,signal
BHARTIARTL,3,2024-01-19,1095.7005268633,2024-02-20,1114.1569935158,,42.14837498702218,0.012822352444446903,signal
DCMSRIND,61,2024-01-19,53.1665911789,2024-02-20,62.1613700744,,535.6372164415766,0.16515894248147564,signal
EIHAHOTELS,21,2024-01-19,150.8687315596,2024-02-20,190.2357444142,,813.9643036632237,0.25691344081481815,signal
FILATEX,57,2024-01-19,57.016074528,2024-02-20,70.0667512911,,730.8171133545634,0.2248725990347354,signal
