ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
FLEXITUFF,76,2023-08-18,39.45,2023-08-22,39.85,,18.340963765599554,0.006117324983523298,exit_model_urgent
AUSOMENT,40,2023-08-18,73.3894812542,2023-08-25,74.4789337424,,31.770929710532982,0.010822712317752881,exit_model_urgent
BFUTILITIE,5,2023-08-18,592.35,2023-08-25,592.35,,-11.912430980999943,-0.004022091999999981,exit_model_urgent
ADANIPORTS,3,2023-08-18,824.8229514058,2023-08-31,781.7020482159,,-139.31525095249663,-0.05630107273932848,exit_model_urgent
ADANIPOWER,49,2023-08-18,60.92,2023-08-31,64.26,,151.65373361264028,0.05080390931319773,exit_model_urgent
DPABHUSHAN,7,2023-08-18,412.4128774169,2023-09-06,565.3709448519,,1059.0951343003112,0.3668636776031098,exit_model_urgent
COCHINSHIP,14,2023-08-18,206.2622927444,2023-09-07,280.285478211,,1024.710113686715,0.35485681156348076,exit_model_urgent
CELEBRITY,193,2023-08-18,15.5,2023-09-11,18.3,,528.3679117820002,0.17662306929032265,exit_model_urgent
ASIANTILES,54,2023-08-18,54.8,2023-09-12,60.85,,314.7978253536003,0.1063793678540147,exit_model_urgent
BFINVEST,6,2023-08-18,453.1957406403,2023-09-12,475.6476397179,,123.77462468841986,0.04551919240368567,exit_model_urgent
BLAL,16,2023-08-18,186.8,2023-09-12,169.8,,-284.0212285696002,-0.09502851598286945,exit_model_urgent
CLSEL,13,2023-08-18,214.4675120557,2023-09-12,198.3626272549,,-220.5774072488889,-0.07911451344151588,exit_model_urgent
DPWIRES,5,2023-08-18,581.525,2023-09-12,546.6125,,-186.25723525149988,-0.06405820394703576,exit_model_urgent
GABRIEL,12,2023-08-18,243.864792092,2023-09-12,287.0645406307,,506.62682291214105,0.17312421997111277,exit_model_urgent
BATAINDIA,1,2023-08-18,1697.7157351358,2023-09-18,1653.3281121023,,-51.21599191006385,-0.03016758980911907,signal
ESCORTS,1,2023-08-18,2780.8199617056,2023-09-18,3092.0053318372,,300.0006564101841,0.10788208533506802,signal
GMMPFAUDLR,1,2023-08-18,1503.9211389562,2023-09-18,1803.8782425084,,293.9081943705735,0.19542792953529542,signal
GRAUWEIL,22,2023-08-18,133.4,2023-09-18,133.15,,-17.304035601599935,-0.00589615496851572,signal
CENTRALBK,62,2023-09-18,49.8782248457,2023-09-21,45.2036472514,,-302.26192901241757,-0.09774189876459448,exit_model_urgent
GMRP&UI,67,2023-09-18,46.25,2023-09-21,41.75,,-313.963457585,-0.10131938929729731,exit_model_urgent
ADROITINFO,222,2023-09-18,13.9429861699,2023-09-22,12.7928309342,,-267.7842163602745,-0.08651197054430676,exit_model_urgent
ARENTERP,69,2023-09-18,44.4,2023-09-25,53.55,,619.0279189488001,0.2020589890810811,exit_model_urgent
DHANBANK,101,2023-09-18,30.55,2023-09-26,28.1,,-259.8603659706,-0.08421849134533552,exit_model_urgent
ASAHISONG,11,2023-09-18,267.8445028294,2023-09-27,245.0058205335,,-263.07575280771516,-0.08929052967425308,exit_model_urgent
EASEMYTRIP,139,2023-09-18,22.2371212121,2023-09-29,20.1726010101,,-299.4004329569002,-0.09686325531014203,exit_model_urgent
BCLIND,562,2023-09-18,5.5145609649,2023-10-03,5.0960716775,,-247.65617972452537,-0.07991014366243888,exit_model_urgent
BANKINDIA,30,2023-09-18,102.5107495607,2023-10-09,97.4646415605,,-163.7524699776627,-0.05324725152546058,exit_model_urgent
BPL,37,2023-09-18,83.65,2023-10-09,75.65,,-308.4485758445999,-0.09965867299222948,exit_model_urgent
BANKBARODA,15,2023-09-18,203.5261979712,2023-10-19,192.1021371695,,-183.63992841525578,-0.060152756826336355,signal
