ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BANCOINDIA,52,2016-08-04,57.4213074508,2016-08-08,54.2610057724,,-176.34528390582545,-0.05905918221442666,exit_model_urgent
COMPUSOFT,262,2016-08-04,11.4337443382,2016-08-09,10.5922999497,,-232.5071735547731,-0.07761516559083995,exit_model_urgent
APTECHT,68,2016-08-04,44.0243436824,2016-08-17,57.3448273675,,893.7521332707443,0.2985487715475978,exit_model_urgent
DELTACORP,28,2016-08-04,103.7107412275,2016-08-19,139.8066088522,,999.0045374986539,0.34402158406938654,exit_model_urgent
BASF,2,2016-08-04,1094.6553180061,2016-09-06,1127.2060771912,,56.295909575580026,0.02571398898336431,signal
BASML,22,2016-08-04,135.675,2016-09-06,151.0,,312.60828869379975,0.10473165776967007,signal
CCL,12,2016-08-04,236.8173275107,2016-09-06,245.8976065424,,97.53333543909412,0.0343208752446149,signal
BEPL,235,2016-09-06,13.0404712487,2016-09-09,12.2615050458,,-195.3828018266222,-0.0637566052736407,exit_model_urgent
AHLUCONT,9,2016-09-06,317.157345576,2016-09-12,298.4686978297,,-179.67855391814237,-0.0629475686032896,exit_model_urgent
ASHIMASYN,169,2016-09-06,18.1,2016-09-12,16.5,,-282.7031772188002,-0.09241988205524868,exit_model_urgent
ATLASCYCLE,22,2016-09-06,137.8,2016-09-12,126.4,,-262.9933741072,-0.08675068416255441,exit_model_urgent
GICHSGFIN,10,2016-09-06,289.3488739096,2016-09-12,265.0082281807,,-255.04433519860868,-0.08814422940463595,exit_model_urgent
AKSHOPTFBR,176,2016-09-06,17.4,2016-09-14,23.15,,999.6827454591999,0.3264376781149425,exit_model_urgent
BROOKS,25,2016-09-06,119.0,2016-09-29,105.65,,-345.7157237000001,-0.11620696594957987,exit_model_urgent
CANFINHOME,9,2016-09-06,315.7768565985,2016-10-06,329.0749207866,,108.2518255745108,0.038090127151665445,signal
CAPLIPOINT,2,2016-09-06,1277.1584439851,2016-10-06,1348.0845161329,,131.57844677503044,0.05151218605440529,signal
ENIL,4,2016-08-04,713.3516785102,2016-10-06,823.3374295516,,416.48203164933875,0.1459595751281966,signal
DATAMATICS,35,2016-10-06,87.4357314119,2016-10-13,80.0845090048,,-269.6013937024086,-0.08809781583044658,exit_model_urgent
GOACARBON,23,2016-10-06,130.8491439315,2016-10-13,121.1081521055,,-236.1474197833163,-0.0784665364443554,exit_model_urgent
AGRITECH,104,2016-08-04,28.8,2016-10-19,37.6,,903.1530300415998,0.30153346355555544,exit_model_urgent
EVERESTIND,11,2016-10-06,269.3580033067,2016-10-24,232.3582775778,,-418.91419239049446,-0.1413847293624803,exit_model_urgent
ALKALI,37,2016-10-06,81.8517249524,2016-11-04,77.372035068,,-177.92948694313873,-0.05875141978148695,exit_model_urgent
ARIES,24,2016-10-06,125.8763426483,2016-11-04,115.2701398974,,-266.69973555971956,-0.08828099663416031,exit_model_urgent
ELGIRUBCO,81,2016-10-06,37.4423396226,2016-11-08,37.9363018868,,15.074740153346283,0.0049705201385278315,signal
EXCELINDUS,8,2016-10-06,357.1751429633,2016-11-08,404.8590463468,,369.9784967871078,0.12948076877550357,signal
GAEL,268,2016-10-06,11.4051830822,2016-11-08,11.8616371374,,110.03580436383481,0.035999541314451995,signal
ASAHISONG,12,2016-11-08,246.9884586978,2016-11-09,232.1345401034,,-190.1679467786489,-0.0641622243475375,exit_model_urgent
BAJAJHLDNG,1,2016-11-08,1995.5690725155,2016-11-09,1886.4403095367,,-117.15512538081202,-0.05870762731010507,exit_model_urgent
