ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
APTECHT,68,2016-08-04,44.0243436824,2016-09-06,84.1599187073,,2717.1783443771437,0.9076456733265128,signal
BAJFINANCE,3092,2016-08-04,0.969996759,2016-09-06,1.0960866085,,377.8066357499956,0.12596787789432204,signal
BANCOINDIA,52,2016-08-04,57.4213074508,2016-09-06,65.0557341195,,384.9805901433747,0.12893250286430816,signal
BEDMUTHA,105,2016-08-04,28.35,2016-09-06,23.1,,-575.7251123609999,-0.19340727718518516,signal
BHAGERIA,25,2016-08-04,119.2301238281,2016-09-06,176.7282427272,,1425.4641092972997,0.4782228059588237,signal
CCL,12,2016-08-04,236.8173275107,2016-09-06,245.8976065424,,97.53333543909412,0.0343208752446149,signal
CGPOWER,38,2016-08-04,77.9902262696,2016-09-06,81.4476777192,,119.46316820882885,0.04030976360519012,signal
COMPUSOFT,262,2016-08-04,11.4337443382,2016-09-06,10.6912934071,,-219.15257998572815,-0.07315715693926769,signal
DELTACORP,28,2016-08-04,103.7107412275,2016-09-06,143.4869718256,,1102.0547007538544,0.3795083902559007,signal
DHAMPURSUG,26,2016-08-04,113.5054332148,2016-09-06,90.080296904,,-620.9233057479341,-0.21040107886726114,signal
EDELWEISS,31,2016-08-04,94.627712632,2016-09-06,106.4916266532,,355.98269231258064,0.12135253337362459,signal
GOCLCORP,15,2016-08-04,193.0842329078,2016-09-06,243.73616538,,735.9656421822397,0.25410866235210133,signal
GOODLUCK,24,2016-08-04,122.8952412044,2016-09-06,110.5667336609,,-320.1351245530741,-0.10853930056461114,signal
AKSHOPTFBR,182,2016-09-06,17.4,2016-10-06,22.65,,942.7628390544,0.2977020459310345,signal
ARE&M,3,2016-09-06,964.8236356926,2016-10-06,967.9863818952,,-2.153589671790087,-0.0007440356945802949,signal
ASHOKA,29,2016-09-06,108.0130206223,2016-10-06,116.4690858453,,232.62718058891687,0.07426536977342048,signal
BALPHARMA,36,2016-09-06,87.4315262504,2016-10-06,116.5427507154,,1035.3444056179374,0.32893817660639213,signal
BEPL,242,2016-09-06,13.0404712487,2016-10-06,12.4634592466,,-165.58413345610052,-0.0524698796064121,signal
BROOKS,26,2016-09-06,119.0,2016-10-06,114.55,,-128.14435264800022,-0.04141704998319335,signal
CANFINHOME,10,2016-09-06,315.7768565985,2016-10-06,329.0749207866,,120.27980619390019,0.038090127151665217,signal
CAPLIPOINT,2,2016-09-06,1277.1584439851,2016-10-06,1348.0845161329,,131.57844677503044,0.05151218605440529,signal
CEATLTD,3,2016-09-06,923.826170979,2016-10-06,1329.0690883298,,1204.5816104973437,0.4346350169681888,signal
DUCON,179,2016-09-06,17.6363636364,2016-10-06,36.5454545455,,3358.7708757477562,1.0639428564519133,signal
ENIL,3,2016-09-06,800.8167728498,2016-10-06,823.3374295516,,47.80880256085766,0.019900017158200643,signal
GICHSGFIN,10,2016-09-06,289.3488739096,2016-10-06,294.4290449783,,39.16383277739169,0.013535159908597907,signal
AARTIDRUGS,83,2016-10-06,40.6740653323,2016-11-08,37.9693339862,,-238.07107284708354,-0.07051978098197957,signal
AGARIND,13,2016-10-06,245.9583800023,2016-11-08,374.6787343533,,1660.504132539977,0.5193199236279948,signal
ALKALI,41,2016-10-06,81.8517249524,2016-11-08,77.9563424443,,-187.30337176171088,-0.05581281180908561,signal
AMRUTANJAN,13,2016-10-06,248.1460490253,2016-11-08,278.4585291753,,381.0873808479887,0.11813371208821852,signal
ATLASCYCLE,22,2016-09-06,137.8,2016-11-08,176.525,,839.7566258928,0.2770011300609579,signal
BHARATGEAR,31,2016-10-06,108.3389830508,2016-11-08,77.5167070218,,-968.9987869665192,-0.2885205722427716,signal
DATAMATICS,38,2016-10-06,87.4357314119,2016-11-08,76.9200755183,,-412.95855707818646,-0.12428935257865203,signal
ELGIRUBCO,90,2016-10-06,37.4423396226,2016-11-08,37.9363018868,,16.749711281496275,0.004970520138527952,signal
EXCELINDUS,9,2016-10-06,357.1751429633,2016-11-08,404.8590463468,,416.225808885496,0.12948076877550346,signal
FIEMIND,12,2016-10-06,278.084633241,2016-11-08,286.1177812794,,82.97599271662102,0.024865329590959002,signal
GAEL,296,2016-10-06,11.4051830822,2016-11-08,11.8616371374,,121.53208243169775,0.03599954131445187,signal
GOACARBON,25,2016-10-06,130.8491439315,2016-11-08,108.16862565,,-580.1701394128436,-0.1773554253336391,signal
GSFC,41,2016-10-06,82.1590050868,2016-11-08,87.1881890366,,192.6480477812097,0.05719072264505001,signal
ADFFOODS,105,2016-11-08,32.2778103156,2016-12-08,27.7950410662,,-484.3223250650285,-0.14290292702471843,signal
ASAHISONG,13,2016-11-08,246.9884586978,2016-12-08,218.2901111223,,-399.4784222760695,-0.12441516323420507,signal
ASHOKLEY,82,2016-11-08,41.2974165,2016-12-08,35.0634195679,,-524.8081131312761,-0.15497577047284103,signal
BAJAJHLDNG,1,2016-11-08,1995.5690725155,2016-12-08,1860.9830144939,,-142.61242042361187,-0.07146453730305753,signal
BHEL,55,2016-11-08,60.9835521134,2016-12-08,54.8066279598,,-353.2213085877793,-0.10531045483780102,signal
BYKE,17,2016-11-08,190.3,2016-12-08,166.7,,-414.2118698292006,-0.1280368056100895,signal
CCHHL,221,2016-11-08,15.4,2016-12-08,13.3,,-492.08306791279983,-0.1445857283636363,signal
CEATLTD,2,2016-11-08,1247.0771931075,2016-12-08,1206.3909185463,,-91.40426752596022,-0.036647397623476956,signal
CGPOWER,41,2016-11-08,81.9415993549,2016-12-08,61.1474984939,,-866.0707780015346,-0.2577894217165946,signal
CTE,28,2016-11-08,120.4,2016-12-08,100.5,,-584.9183165504005,-0.1735044840265782,signal
EIDPARRY,14,2016-11-08,241.779743311,2016-12-08,229.7230919919,,-182.40756366606547,-0.053888351075275856,signal
EMKAY,47,2016-11-08,72.2864470498,2016-12-08,58.7731043711,,-663.0613593447401,-0.1951636727556612,signal
FEDERALBNK,44,2016-11-08,76.6360778218,2016-12-08,69.8769944341,,-310.9621127016112,-0.09221923856348578,signal
FMGOETZE,6,2016-11-08,518.85,2016-12-08,502.3,,-111.82117460520021,-0.03591955754880993,signal
GENESYS,29,2016-11-08,114.15,2016-12-08,99.2,,-460.7680022522004,-0.13919011652912844,signal
ARCHIES,112,2016-12-08,28.85,2017-01-06,23.95,,-575.3672236704001,-0.17806611279722706,signal
ARIES,20,2016-12-08,161.8410119764,2017-01-06,170.0367141021,,150.89525372315575,0.0466183607852006,signal
ARROWGREEN,6,2016-12-08,538.8374967496,2017-01-06,499.7603579787,,-247.46635653525982,-0.07654328624988599,signal
