ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
JMFINANCIL,39,2023-08-18,76.0749025386,2023-08-25,71.7370938715,,-181.1077680360504,-0.061042324985497796,exit_model_urgent
GABRIEL,12,2023-08-18,243.864792092,2023-08-28,318.1251106835,,879.3536635457413,0.3004922167464823,exit_model_urgent
ADANIPOWER,49,2023-08-18,60.92,2023-09-11,79.68,,907.2337336126402,0.3039227536992778,exit_model_urgent
MANAPPURAM,21,2023-08-18,141.200426602,2023-09-12,132.6714669906,,-191.03449507028154,-0.06442530618745032,exit_model_urgent
ASIANTILES,54,2023-08-18,54.8,2023-09-18,62.3,,393.0978253536,0.13283922186861316,signal
EIHOTEL,13,2023-08-18,222.7035611507,2023-09-18,231.4944911961,,102.63754583841546,0.03545159221042591,signal
KPRMILL,4,2023-08-18,676.0152945415,2023-09-18,725.5604697893,,187.30471815898773,0.06926792916942254,signal
LEMONTREE,29,2023-08-18,102.15,2023-09-18,117.0,,418.7351557637994,0.14135235733920684,signal
MAYURUNIQ,5,2023-08-18,527.5607956561,2023-09-18,498.6574087587,,-155.1264247656104,-0.05880892820046938,signal
VTL,8,2023-08-18,361.9447628345,2023-09-18,392.9347077064,,236.27335789489143,0.08159855527559046,signal
CENTRALBK,61,2023-09-18,49.8782248457,2023-09-20,47.1794996366,,-176.8597411117912,-0.0581283721943853,exit_model_urgent
UCOBANK,68,2023-09-18,44.9044541243,2023-09-20,42.3453830828,,-186.29830032944437,-0.06101133931199791,exit_model_urgent
MAHABANK,69,2023-09-18,44.3273702363,2023-09-21,41.2893573229,,-221.92481554798314,-0.07255791754536792,exit_model_urgent
PANACEABIO,18,2023-09-18,165.05,2023-09-21,155.35,,-186.54923312280016,-0.06279216167585586,exit_model_urgent
EASEMYTRIP,138,2023-09-18,22.2371212121,2023-09-25,20.7944444444,,-211.4320790741699,-0.06889904949551376,exit_model_urgent
TRITURBINE,7,2023-09-18,425.6742580995,2023-09-25,402.0147575049,,-177.60121135895542,-0.05960332611134166,exit_model_urgent
SATIN,12,2023-09-18,239.95,2023-10-04,226.2,,-176.5812117047999,-0.06132569691769116,exit_model_urgent
RAMCOSYS,9,2023-09-18,313.4,2023-10-13,296.85,,-160.2947126951999,-0.0568300052099553,exit_model_urgent
TATAINVEST,11,2023-09-18,266.4893286387,2023-10-19,328.0539477253,,665.4205193877665,0.22699886257663865,signal
UNIONBANK,33,2023-09-18,92.9161838711,2023-10-19,96.2983705439,,99.27948468839031,0.032378312449369305,signal
IIFL,4,2023-10-19,647.2746767477,2023-10-23,604.2282234225,,-182.59940649739792,-0.07052624374820592,exit_model_urgent
MINDACORP,8,2023-10-19,361.1955432114,2023-10-23,324.4452748247,,-305.6242407318896,-0.1057682765180931,exit_model_urgent
NBCC,65,2023-10-19,46.3982507696,2023-10-23,40.9222734703,,-368.0686966147364,-0.12204329341321898,exit_model_urgent
PNBGILTS,32,2023-10-19,94.0054147089,2023-10-23,80.5059426228,,-444.0822564018349,-0.14762522515890222,exit_model_urgent
ROTO,429,2023-10-19,7.1088303705,2023-10-23,6.7172813867,,-180.24064067833206,-0.05910133336505467,exit_model_urgent
WELSPUNLIV,22,2023-10-19,136.8260855091,2023-10-23,126.2592207314,,-244.57822139558448,-0.0812505293873813,exit_model_urgent
SHAKTIPUMP,99,2023-10-19,30.7527532138,2023-10-25,28.6882617667,,-216.63000312814074,-0.07115401455493989,exit_model_urgent
CUPID,61736,2023-10-19,0.0495,2023-11-02,0.0689,,1185.3871603502562,0.38789709991919197,exit_model_urgent
