ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ADANIPOWER,49,2023-08-18,60.92,2023-09-18,75.0,,677.91373361264,0.22710069197898886,signal
ASIANTILES,54,2023-08-18,54.8,2023-09-18,62.3,,393.0978253536,0.13283922186861316,signal
EIHOTEL,13,2023-08-18,222.7035611507,2023-09-18,231.4944911961,,102.63754583841546,0.03545159221042591,signal
GABRIEL,12,2023-08-18,243.864792092,2023-09-18,309.8685034543,,780.2743767953416,0.2666349011480703,signal
JMFINANCIL,39,2023-08-18,76.0749025386,2023-09-18,80.0862094781,,144.50774062134997,0.04870629549237548,signal
KPRMILL,4,2023-08-18,676.0152945415,2023-09-18,725.5604697893,,187.30471815898773,0.06926792916942254,signal
LEMONTREE,29,2023-08-18,102.15,2023-09-18,117.0,,418.7351557637994,0.14135235733920684,signal
MANAPPURAM,21,2023-08-18,141.200426602,2023-09-18,137.7539301279,,-84.302769186982,-0.02843063351110028,signal
MAYURUNIQ,5,2023-08-18,527.5607956561,2023-09-18,498.6574087587,,-155.1264247656104,-0.05880892820046938,signal
VTL,8,2023-08-18,361.9447628345,2023-09-18,392.9347077064,,236.27335789489143,0.08159855527559046,signal
CENTRALBK,61,2023-09-18,49.8782248457,2023-10-19,45.3000302946,,-291.50737097379124,-0.09580953161443691,signal
EASEMYTRIP,138,2023-09-18,22.2371212121,2023-10-19,20.4213383838,,-262.9207154369701,-0.08567757298519016,signal
MAHABANK,69,2023-09-18,44.3273702363,2023-10-19,42.1179062993,,-164.75493617638313,-0.05386632875985735,signal
PANACEABIO,18,2023-09-18,165.05,2023-10-19,166.1,,6.95076687719984,0.0023396165731595945,signal
RAMCOSYS,9,2023-09-18,313.4,2023-10-19,296.6,,-162.5447126951999,-0.05762770782641988,signal
SATIN,12,2023-09-18,239.95,2023-10-19,239.25,,-19.981211704799534,-0.0069393664321732084,signal
TATAINVEST,11,2023-09-18,266.4893286387,2023-10-19,328.0539477253,,665.4205193877665,0.22699886257663865,signal
TRITURBINE,7,2023-09-18,425.6742580995,2023-10-19,360.991839634,,-464.7616364552555,-0.1559749461713713,signal
UCOBANK,68,2023-09-18,44.9044541243,2023-10-19,38.2412125446,,-465.3818969270442,-0.15240918877341758,signal
UNIONBANK,33,2023-09-18,92.9161838711,2023-10-19,96.2983705439,,99.27948468839031,0.032378312449369305,signal
CUPID,61600,2023-10-19,0.0495,2023-11-20,0.0878,,2347.0158370736003,0.7697152817373738,signal
IIFL,4,2023-10-19,647.2746767477,2023-11-20,599.5439014684,,-201.33669431379803,-0.07776323620654971,signal
MINDACORP,8,2023-10-19,361.1955432114,2023-11-20,338.5494318812,,-192.79098427988947,-0.06671974083822411,signal
NBCC,65,2023-10-19,46.3982507696,2023-11-20,44.16851151,,-157.0632240342361,-0.052078629102491766,signal
NESTLEIND,2,2023-10-19,1170.8248514636,2023-11-20,1185.9333336343,,20.798633804453857,0.008882043193076377,signal
PNBGILTS,32,2023-10-19,94.0054147089,2023-11-20,96.9507540732,,82.1517100109645,0.0273095006898532,signal
ROTO,428,2023-10-19,7.1088303705,2023-11-20,7.7728014067,,271.94206923523143,0.08937879135140585,signal
SHAKTIPUMP,99,2023-10-19,30.7527532138,2023-11-20,28.2950253005,,-255.56041328194078,-0.0839410474253347,signal
WELSPUNLIV,22,2023-10-19,136.8260855091,2023-11-20,160.0336857218,,498.4600083932155,0.1655917658133663,signal
GLAXO,2,2023-11-20,1559.4860467203,2023-12-20,1596.8183229077,,62.11975966954924,0.019916741095629267,signal
GOLDIAM,25,2023-11-20,120.3535799381,2023-12-20,118.2585507369,,-64.47755930600988,-0.021429378117101907,signal
LATENTVIEW,6,2023-11-20,450.5,2023-12-20,455.95,,21.828285323999808,0.008075577256381727,signal
MOIL,10,2023-11-20,286.8230068785,2023-12-20,273.3662908727,,-146.1034452718195,-0.05093853762355606,signal
NYKAA,18,2023-11-20,172.55,2023-12-20,164.65,,-154.69221554279966,-0.04980592277368867,signal
OLECTRA,2,2023-11-20,1293.4327866843,2023-12-20,1211.6718022163,,-173.92658026372146,-0.06723448719340888,signal
SANDHAR,6,2023-11-20,492.8748829143,2023-12-20,468.1965891573,,-159.96409128342248,-0.05409219013744329,signal
SKIPPER,11,2023-11-20,262.6015852535,2023-12-20,214.6604239631,,-538.9710592819897,-0.1865844373267445,signal
TATAINVEST,6,2023-11-20,446.1143243029,2023-12-20,405.0976710394,,-256.86579671018444,-0.09596411454678273,signal
ABSLAMC,6,2023-12-20,461.1442047742,2024-01-19,467.6804141501,,28.08866975418823,0.01015180264777186,signal
GALLANTT,24,2023-12-20,123.1855725627,2024-01-19,178.5096261531,,1315.8861572275227,0.4450893781134395,signal
HINDOILEXP,17,2023-12-20,174.6,2024-01-19,177.45,,36.511626525599695,0.012300932054982715,signal
KAYNES,1,2023-12-20,2743.8,2024-01-19,2733.45,,-21.38581602960039,-0.007794232826591001,signal
MSTCLTD,6,2023-12-20,463.1991982988,2024-01-19,905.6758467329,,2643.681711865296,0.9512400286150441,signal
MUFIN,18,2023-12-20,168.55,2024-01-19,177.55,,149.7973750811998,0.0493745262141797,signal
OIL,13,2023-12-20,224.1763909951,2024-01-19,256.317043836,,406.10693203716664,0.1393500655150281,signal
PCJEWELLER,699,2023-12-20,4.4,2024-01-19,5.73,,917.2996538448001,0.29825063527272727,signal
VBL,6,2023-12-20,497.9922789215,2024-01-19,503.5347971049,,21.237284533728598,0.007107635142363421,signal
VOLTAS,3,2023-12-20,920.0081018875,2024-01-19,1041.9918279122,,354.8501063944891,0.12856774690950157,signal
APOLLOPIPE,4,2024-01-19,725.3783185806,2024-02-20,743.6421662013,,61.385237154254355,0.021156283411658646,signal
CEATLTD,1,2024-01-19,2570.4992445248,2024-02-20,2866.0113072058,,285.1732782335912,0.11094081386758403,signal
GICRE,9,2024-01-19,337.7528563691,2024-02-20,386.6063098251,,427.45482354978685,0.1406205143755105,signal
HUDCO,21,2024-01-19,149.9053801795,2024-02-20,186.6293770177,,758.542335764284,0.24095908742281888,signal
