ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
GALLANTT,86,2016-08-08,46.4682248682,2016-08-09,41.1945291123,,-469.6111899001057,-0.11751245602526716,exit_model_urgent
MUTHOOTFIN,11,2016-08-08,336.1165154295,2016-08-09,319.2602469593,,-200.28976019774564,-0.054172167037700995,exit_model_urgent
COLPAL,4,2016-08-08,837.1450820751,2016-08-10,791.4226542977,,-196.35800925941476,-0.05863918138678127,exit_model_urgent
RAMCOIND,28,2016-08-08,139.0464829506,2016-08-10,130.6790839766,,-249.94638817970463,-0.06419908315031005,exit_model_urgent
MANAPPURAM,52,2016-08-08,75.5501734817,2016-08-11,70.2128392106,,-293.3426090118869,-0.07466831324782854,exit_model_urgent
AVANTIFEED,20,2016-08-08,194.4866379859,2016-08-16,182.4633686248,,-256.11025023699904,-0.06584263394371768,exit_model_urgent
ARE&M,4,2016-08-08,865.6622400458,2016-08-25,821.616348077,,-190.1106605567611,-0.05490324394497756,exit_model_urgent
JKTYRE,40,2016-08-08,99.6232681646,2016-09-02,137.3821817128,,1494.3287839320524,0.3749949212324288,exit_model_urgent
ZENSARTECH,20,2016-08-08,191.7005488402,2016-09-06,180.6195922598,,-237.03987648571592,-0.061825560208309684,exit_model_urgent
IMFA,114,2016-08-08,34.7999923203,2016-09-26,47.0341083764,,1378.7327905342845,0.3475330446648846,exit_model_urgent
SKIPPER,24,2016-08-08,160.7203686636,2016-09-29,150.2722949309,,-266.26814020173424,-0.06902986804964699,exit_model_urgent
HEROMOTOCO,1,2016-08-08,2733.9160735414,2016-11-09,2558.8034252744,,-186.10871023506206,-0.06807403930069611,exit_model_urgent
BRITANNIA,2,2016-08-08,1450.9957666753,2016-11-10,1474.9323749798,,36.2011396786429,0.012474584871323025,signal
JKCEMENT,5,2016-08-08,759.5627634366,2016-11-10,871.2063544889,,542.9427986899186,0.14296193147578845,signal
LINDEINDIA,11,2016-08-08,361.2483369431,2016-11-10,374.8388691213,,133.51313945384572,0.033598931513086995,signal
INDIANB,16,2016-11-10,250.5353710406,2016-11-11,233.8703575393,,-282.76303700607104,-0.07053969960199963,exit_model_urgent
KEI,30,2016-11-10,132.757494056,2016-11-11,125.4965520308,,-233.84714639948106,-0.058715366205199994,exit_model_urgent
MCX,15,2016-11-10,261.7980008665,2016-11-11,247.9149178206,,-224.04088036201665,-0.057051843945964784,exit_model_urgent
VOLTAMP,4,2016-11-10,883.196921931,2016-11-11,837.1001571925,,-198.5962560504936,-0.05621516875768986,exit_model_urgent
CUB,65,2016-11-10,61.6618963002,2016-11-15,56.9292323662,,-323.7437939979018,-0.0807739309470072,exit_model_urgent
FEDERALBNK,50,2016-11-10,79.8168229454,2016-11-15,73.3559344131,,-339.0959568667058,-0.08496854280924458,exit_model_urgent
ITI,118,2016-11-10,34.1,2016-11-15,30.05,,-494.08409378960005,-0.12279042044574781,exit_model_urgent
NH,11,2016-11-10,347.3256798353,2016-11-15,323.3924785137,,-278.6319487584615,-0.07292918039308689,exit_model_urgent
GRAVITA,111,2016-11-10,36.248419491,2016-11-17,34.1300053649,,-251.32715506036084,-0.062463650441630096,exit_model_urgent
BANKINDIA,35,2016-11-10,112.9262355465,2016-11-21,106.5590696277,,-238.74779695835923,-0.060405499168285276,exit_model_urgent
POWERGRID,54,2016-11-10,74.6086116576,2016-12-26,70.7881123076,,-222.5114307042736,-0.055229308769202894,exit_model_urgent
SUDARSCHEM,10,2017-02-09,361.849096796,2017-02-10,322.8334582069,,-404.7102894653044,-0.11184504619434445,exit_model_urgent
V2RETAIL,214,2017-02-09,18.275,2017-02-13,16.885,,-313.1897984981997,-0.08008228351846777,exit_model_urgent
ENGINERSIN,32,2017-02-09,120.3466833048,2017-02-14,114.024602112,,-217.79605199829666,-0.05655433484368663,exit_model_urgent
WELSPUNLIV,43,2017-02-09,89.8362323683,2017-02-14,85.1280338482,,-217.9897087996028,-0.05643077384228688,exit_model_urgent
IMFA,23,2017-02-09,164.2367215318,2017-02-15,155.1442083978,,-224.3210317689227,-0.059384334068619524,exit_model_urgent
JINDALSAW,115,2017-02-09,33.9193689807,2017-02-15,32.1522238529,,-218.91077429856705,-0.056120500104393095,exit_model_urgent
ESCORTS,10,2017-02-09,381.7249944253,2017-03-14,504.354695038,,1210.943675664219,0.3172293387514056,exit_model_urgent
SUNTECK,31,2017-02-09,124.0030560608,2017-03-15,164.8420893031,,1250.5487278188116,0.3253168335041924,exit_model_urgent
KEC,24,2017-02-09,158.7119540131,2017-04-05,210.7087403911,,1232.6023751390285,0.3235952365202461,exit_model_urgent
JBMA,74,2017-02-09,52.5310043546,2017-05-16,55.343409305,,192.48291093447187,0.04951590874743347,signal
WHEELS,12,2017-02-09,307.6294893067,2017-05-16,313.2581686448,,37.19185650128702,0.010074851348263606,signal
PNB,24,2017-05-16,162.5435330111,2017-05-17,154.0500150645,,-219.53479176901692,-0.05627589619176693,exit_model_urgent
GENUSPOWER,85,2017-05-16,46.9121059545,2017-05-18,43.8342746643,,-277.65386818233355,-0.06963055760981905,exit_model_urgent
INDOTECH,17,2017-05-16,226.75,2017-05-18,205.6,,-375.05415913700017,-0.09729662342227127,exit_model_urgent
OFSS,1,2017-05-16,2727.3788882947,2017-05-19,2586.0469831729,,-152.30167392937892,-0.055841773426869155,exit_model_urgent
PREMEXPLN,45,2017-05-16,88.6455267355,2017-05-22,83.499849744,,-247.59978549383914,-0.062069882802277564,exit_model_urgent
J&KBANK,46,2017-05-16,87.1449740444,2017-05-23,80.4829636621,,-322.575712321232,-0.08046953438383408,exit_model_urgent
VINDHYATEL,5,2017-05-16,730.5365554264,2017-05-23,677.4537692867,,-280.10535687494075,-0.07668482974447424,exit_model_urgent
SKIPPER,19,2017-05-16,205.1121843318,2017-05-24,191.364718894,,-276.8764647565654,-0.07104622068638451,exit_model_urgent
VOLTAMP,3,2017-05-16,1228.9938677139,2017-05-24,1155.1725812377,,-236.29323863874424,-0.06408853204946759,exit_model_urgent
BLISSGVS,22,2017-05-16,177.4772742446,2017-06-06,160.5960183611,,-387.09188778526277,-0.09913993711764699,exit_model_urgent
GRAVITA,52,2017-05-16,77.0631983205,2017-06-08,72.5909907209,,-248.6724693990841,-0.06205507917243009,exit_model_urgent
AVANTIFEED,10,2017-05-16,380.5317417091,2017-07-05,502.5316350165,,1204.6935963332576,0.316581631514512,exit_model_urgent
UNOMINDA,277,2017-05-16,14.5232387236,2017-07-21,19.7700042803,,1437.1734359731536,0.357244816611376,exit_model_urgent
SARDAEN,171,2017-02-09,22.7844638931,2017-08-07,31.0619149622,,1399.7734859148673,0.3592715587936324,exit_model_urgent
VOLTAS,7,2017-08-14,549.3976510598,2017-08-22,520.3515464476,,-218.79082756542493,-0.056891092360976135,exit_model_urgent
KNRCON,74,2017-08-14,54.6838446226,2017-09-04,51.5153873677,,-250.74165245754966,-0.06196346895999759,exit_model_urgent
V2RETAIL,123,2017-08-14,32.86,2017-09-11,46.125,,1615.33858899624,0.3996601964966525,exit_model_urgent
PANAMAPET,33,2017-08-14,121.933918941,2017-09-19,168.5857852025,,1523.327415112759,0.3785774887128398,exit_model_urgent
JKCEMENT,3,2017-08-14,1027.6757884436,2017-09-22,943.8687981773,,-263.82119050077745,-0.0855721209183851,exit_model_urgent
TITAN,6,2017-08-14,626.4529461018,2017-09-26,588.5418104835,,-242.5847220071546,-0.06453922397967675,exit_model_urgent
BEML,4,2017-08-14,842.4122628406,2017-09-27,791.3051806548,,-217.98136723549214,-0.06468963500734862,exit_model_urgent
TATACONSUM,23,2017-08-14,172.5857389192,2017-11-09,232.1540155942,,1354.1047819691175,0.3411296977599192,exit_model_urgent
BATAINDIA,6,2017-08-14,650.0495959234,2017-11-15,733.3564444802,,484.1537356645995,0.124132512016732,signal
EDELWEISS,17,2017-08-14,228.9863597638,2017-11-15,269.8085736082,,678.3205638576433,0.17425146930080504,signal
GABRIEL,24,2017-08-14,167.1977088661,2017-11-15,185.6636074705,,427.04193689163276,0.10642139870111014,signal
MGL,4,2017-08-14,935.4739736384,2017-11-15,1010.3589776263,,284.48976640928277,0.07602824194637883,signal
PCJEWELLER,122,2017-08-14,33.04,2017-11-15,34.22,,127.74742979904022,0.03169219371428577,signal
TATASTEEL,71,2017-08-14,57.0633064058,2017-11-15,62.0034563792,,334.45516347003013,0.08255105429244626,signal
VEDL,37,2017-08-14,107.1894671852,2017-11-15,109.5434464922,,71.14557611635564,0.017938827937523764,signal
IGL,60,2017-11-15,70.1676937435,2017-11-20,140.8389612702,,4223.34279642215,1.00315462646307,exit_model_urgent
ACE,40,2017-11-15,104.6767134951,2017-11-22,138.3049808429,,1328.2899190346025,0.3172362492773478,exit_model_urgent
BANKBARODA,26,2017-11-15,164.0570042997,2017-12-06,155.3953188558,,-242.35998301938253,-0.05681889565293516,exit_model_urgent
BIOCON,22,2017-11-15,192.945438779,2017-12-06,255.6514749203,,1362.4598203821097,0.3209715255642044,exit_model_urgent
PANACEABIO,16,2017-11-15,254.1,2017-12-11,233.3,,-349.1522172351997,-0.08587962840299088,exit_model_urgent
TCS,3,2017-11-15,1174.5350826521,2017-12-14,1110.4963717176,,-206.2883972824634,-0.05854469577774388,exit_model_urgent
ZENTEC,44,2017-11-15,95.9846182274,2017-12-14,134.29864463,,1668.8305672501983,0.39514630716817806,exit_model_urgent
CAMLINFINE,46,2017-11-15,93.0,2017-12-20,131.15,,1737.6934904240006,0.406192961763441,exit_model_urgent
BALKRISIND,8,2017-11-15,502.0769967175,2017-12-21,1131.1643863136,,5016.54391779375,1.2489478582446318,exit_model_urgent
LUXIND,3,2017-11-15,1268.1433294171,2018-01-31,1689.0665400287,,1247.4678644144951,0.3278987570455704,exit_model_urgent
HINDOILEXP,34,2017-11-15,125.8,2018-02-05,118.3,,-272.2032919024,-0.06364053397138315,exit_model_urgent
BLISSGVS,22,2017-11-15,191.0221167234,2018-02-15,200.3839931426,,189.05849361748278,0.044987292775879185,signal
MINDACORP,26,2017-11-15,162.2501944896,2018-02-15,184.6044502158,,564.243433440568,0.13375435749222456,signal
APOLLOHOSP,4,2018-02-15,1198.2284568399,2018-02-16,1132.6604275364,,-281.54965757571244,-0.05874289998049416,exit_model_urgent
APOLLOTYRE,19,2018-02-15,252.6770856545,2018-02-19,235.8165065201,,-339.66052276469054,-0.07074986468554699,exit_model_urgent
GPIL,227,2018-02-15,21.6357352231,2018-02-19,19.5864091541,,-484.9507659479732,-0.09874159415086653,exit_model_urgent
HIRECT,71,2018-02-15,68.9924570743,2018-02-19,62.0882263628,,-509.9024552022811,-0.1040943463344794,exit_model_urgent
JSL,43,2018-02-15,112.5699179914,2018-02-19,102.560415866,,-449.8775537557358,-0.09294018223228288,exit_model_urgent
SONATSOFTW,45,2018-02-15,108.9278783348,2018-02-20,101.9537882389,,-333.54936197673123,-0.0680469330463341,exit_model_urgent
PRECWIRE,189,2018-02-15,26.0700949344,2018-02-21,24.1418576992,,-384.2546819847548,-0.07798565983709506,exit_model_urgent
SUNPHARMA,9,2018-02-15,539.3636637838,2018-02-21,492.5235714013,,-441.0851639372595,-0.09086533993758353,exit_model_urgent
BOMDYEING,18,2018-02-15,272.443882405,2018-02-27,254.9621473271,,-334.395529879861,-0.06818846242307518,exit_model_urgent
GPPL,44,2018-02-15,110.8486097646,2018-03-05,103.9582240354,,-322.7940775727948,-0.06618241808647557,exit_model_urgent
NELCO,30,2018-02-15,162.4512050587,2018-03-07,154.313849614,,-263.7224741087093,-0.05411316668153083,exit_model_urgent
COALINDIA,32,2018-02-15,151.7678040735,2018-03-19,142.0655821615,,-330.0046714438913,-0.06795015613210867,exit_model_urgent
KEC,13,2018-02-15,374.2431695412,2018-05-21,349.3668373989,,-342.96044380736294,-0.07049313053036779,signal
ALKYLAMINE,17,2018-05-21,275.5295378506,2018-05-24,255.3875139222,,-361.25389433199416,-0.07712504889357845,exit_model_urgent
GANECOS,12,2018-05-21,393.2256449719,2018-05-28,372.2383228962,,-270.82694155843546,-0.05739430295333121,exit_model_urgent
JYOTHYLAB,91,2018-05-21,51.601636202,2018-06-04,48.6320969641,,-289.11480471100276,-0.06156947724715436,exit_model_urgent
POWERGRID,54,2018-05-21,87.0518191124,2018-06-04,82.5692542439,,-260.96554586182083,-0.0555151557200375,exit_model_urgent
KEI,10,2018-05-21,443.0677326619,2018-06-05,381.6343847384,,-632.1540710649747,-0.14267662130732603,exit_model_urgent
INDSWFTLAB,71,2018-05-21,66.05,2018-06-15,90.55,,1720.6381984614,0.36690902079333837,exit_model_urgent
PIDILITIND,8,2018-05-21,529.7595599016,2018-06-21,502.0759901838,,-238.51449124482997,-0.05627894928624146,exit_model_urgent
AUBANK,13,2018-05-21,350.5469103915,2018-06-27,332.9349878428,,-247.28410814393374,-0.05426336364330292,exit_model_urgent
COLPAL,4,2018-05-21,1015.6016623794,2018-07-17,953.5704178653,,-264.46435134217154,-0.06510041316852806,exit_model_urgent
UBL,4,2018-05-21,1133.1463866345,2018-07-20,1060.1375664587,,-310.26575676924676,-0.0684522671626636,exit_model_urgent
BAJFINANCE,23,2018-05-21,204.8424951076,2018-08-08,273.6957254325,,1564.674704173557,0.33210557666920204,exit_model_urgent
BAJAJFINSV,8,2018-05-21,570.252106836,2018-08-17,707.3127271612,,1078.1361111064934,0.23632883118320439,signal
DABUR,13,2018-05-21,352.5549874233,2018-08-17,431.0212656103,,1001.6275047028203,0.21854256028440625,signal
HINDUNILVR,3,2018-05-21,1460.6457569642,2018-08-17,1651.3397616583,,554.4574592405406,0.126532495780707,signal
ICICIGI,6,2018-08-17,766.3675668936,2018-08-23,722.3811571649,,-282.41286353137275,-0.061418061804665344,exit_model_urgent
GALLANTT,88,2018-08-17,55.2743017436,2018-08-24,52.4881983254,,-264.74111356426965,-0.05442713250370191,exit_model_urgent
BALKRISIND,3,2018-08-17,1279.914529224,2018-09-03,1183.2668712415,,-305.3867759135269,-0.07953311697531344,exit_model_urgent
SONATSOFTW,41,2018-08-17,117.5126127948,2018-09-03,111.3760577681,,-270.9772642273638,-0.05624248673682394,exit_model_urgent
DMART,3,2018-08-17,1616.7,2018-09-10,1526.4,,-290.4075484092,-0.05987661046353683,exit_model_urgent
ITC,21,2018-08-17,230.0050586533,2018-09-11,217.872520898,,-274.21042449504785,-0.05677109598424739,exit_model_urgent
LALPATHLAB,9,2018-08-17,494.9056500299,2018-09-12,469.4532234023,,-246.98684415006028,-0.05545093833881679,exit_model_urgent
PNBHOUSING,3,2018-08-17,1326.3909754614,2018-09-18,1247.0950517136,,-253.89237083722674,-0.0638053121928365,exit_model_urgent
SAKSOFT,229,2018-08-17,21.3601562544,2018-09-24,19.8653247155,,-361.9903880201118,-0.07400433000877286,exit_model_urgent
UNIVCABLES,24,2018-08-17,197.3248553203,2018-10-04,183.6513278113,,-347.2124695436387,-0.07331659363186478,exit_model_urgent
BERGEPAINT,20,2018-05-21,235.0842389855,2018-10-05,221.017959727,,-300.2361939089933,-0.063857150782344,exit_model_urgent
SUNPHARMA,8,2018-08-17,584.095952009,2018-10-11,549.6216440155,,-294.5887651944622,-0.06304374396475937,exit_model_urgent
ZENSARTECH,20,2018-08-17,242.2049771835,2018-10-23,216.2686219506,,-538.2105186797999,-0.11110641179599692,exit_model_urgent
GLENMARK,8,2018-08-17,596.0802840883,2018-11-22,634.0709045438,,284.74504570808585,0.059711974483353594,signal
NEWGEN,29,2018-11-22,160.0086908386,2018-11-27,150.5891433712,,-291.83039713982,-0.0628910660415504,exit_model_urgent
ABFRL,24,2018-11-22,191.65,2018-11-30,181.05,,-272.90001436319926,-0.05933124931802749,exit_model_urgent
PIIND,5,2018-11-22,838.2673871707,2018-12-04,793.8630423723,,-238.87966675100097,-0.05699366822733302,exit_model_urgent
WELCORP,33,2018-11-22,138.5463287334,2018-12-05,130.5599488816,,-281.93965576352275,-0.061666202275689114,exit_model_urgent
ATUL,1,2018-11-22,3477.0680619532,2018-12-10,3265.8325721104,,-225.22057747823737,-0.06477312881581113,exit_model_urgent
VINDHYATEL,2,2018-11-22,1843.9440455641,2018-12-10,1731.8909570993,,-238.93920211782188,-0.0647902529072474,exit_model_urgent
LUMAXTECH,26,2018-11-22,176.1858134575,2019-01-07,166.4110880867,,-272.56738396214314,-0.05950173124551662,exit_model_urgent
MOTHERSON,160,2018-11-22,29.3904574077,2019-01-28,27.3216602762,,-349.9213208185365,-0.0744121884453176,exit_model_urgent
NHPC,242,2018-11-22,19.3893305602,2019-01-28,18.2728623898,,-289.0578296990325,-0.06160366589362115,exit_model_urgent
IPCALAB,12,2018-11-22,386.6107708362,2019-02-04,362.9267280488,,-302.86832251072883,-0.06528278252906562,exit_model_urgent
APOLLOHOSP,3,2018-11-22,1204.4777546404,2019-02-11,1112.8709845016,,-289.35387143975095,-0.08007727009347115,exit_model_urgent
DRREDDY,9,2018-11-22,515.1847704029,2019-02-21,510.7610578806,,-58.4624975927336,-0.012608744355504194,signal
REFEX,886,2019-02-21,5.1726528853,2019-03-01,6.8968705138,,1509.223690042175,0.32931124134622175,exit_model_urgent
SONATSOFTW,41,2019-02-21,110.5780386878,2019-03-18,104.8604565426,,-252.65582478925808,-0.055728400169768884,exit_model_urgent
TECHM,6,2019-02-21,718.2130048441,2019-03-26,674.5417333621,,-279.359941578477,-0.06482755108727961,exit_model_urgent
CREDITACC,11,2019-02-21,405.0,2019-04-02,537.8,,1442.8815801399996,0.3238791425679012,exit_model_urgent
VMART,28,2019-02-21,161.7459484752,2019-05-14,148.754105543,,-381.98720049264557,-0.08434461664235275,exit_model_urgent
COFORGE,104,2019-02-21,44.0061955194,2019-05-29,43.7153382439,,-48.656841214698034,-0.010631553964776786,signal
JBCHEPHARM,31,2019-02-21,147.2641301719,2019-05-29,171.4057908558,,730.0298749255089,0.15991233422938597,signal
MANAPPURAM,45,2019-02-21,100.020665895,2019-05-29,115.9510463363,,698.7639654526065,0.15524879765817753,signal
MUTHOOTFIN,9,2019-02-21,467.5964480579,2019-05-29,561.5996304221,,829.1021978811405,0.1970127592154652,signal
OBEROIRLTY,9,2019-02-21,475.3506821165,2019-05-29,546.013558326,,618.7587483038815,0.14463210976715285,signal
RECLTD,86,2019-02-21,53.0566411493,2019-05-29,65.0052380604,,1009.2270468500428,0.22118245642734913,signal
RELIANCE,7,2019-02-21,607.7657195086,2019-05-29,640.0086438373,,208.58904283273205,0.049029475888313315,signal
PGIL,110,2019-05-29,43.9358288362,2019-05-30,41.7014049928,,-265.2251567982994,-0.05487862304964287,exit_model_urgent
GOKEX,42,2019-05-29,113.7,2019-05-31,107.25,,-290.10709813680023,-0.060750324189973656,exit_model_urgent
AEGISLOG,22,2019-05-29,215.9139736769,2019-06-04,203.6322843361,,-289.3025345543092,-0.06090441939942374,exit_model_urgent
KEI,9,2019-05-29,519.8963070866,2019-06-04,491.8602716051,,-271.14395633156346,-0.05794829824410405,exit_model_urgent
POWERMECH,18,2019-05-29,267.5912354547,2019-06-04,250.3982236885,,-328.8471900046634,-0.06827311926920411,exit_model_urgent
