ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ZENSARTECH,20,2016-08-08,191.7005488402,2016-08-09,188.4635134927,,-80.16145182771561,-0.020907987043515857,exit_model_urgent
COLPAL,4,2016-08-08,837.1450820751,2016-08-10,791.4226542977,,-196.35800925941476,-0.05863918138678127,exit_model_urgent
GALLANTT,86,2016-08-08,46.4682248682,2016-08-10,40.846266185,,-499.5618016479061,-0.12500710270668872,exit_model_urgent
HEROMOTOCO,1,2016-08-08,2733.9160735414,2016-08-10,2623.1708651883,,-121.74127032116212,-0.04452999545207824,exit_model_urgent
SKIPPER,24,2016-08-08,160.7203686636,2016-08-10,155.0214193548,,-152.2891540281339,-0.03948087893651041,exit_model_urgent
IMFA,114,2016-08-08,34.7999923203,2016-08-16,34.1986729431,,-84.50684886191539,-0.02130138826148879,exit_model_urgent
MUTHOOTFIN,11,2016-08-08,336.1165154295,2016-08-16,307.2801060267,,-332.07131045634515,-0.0898149884482805,exit_model_urgent
JKCEMENT,5,2016-08-08,759.5627634366,2016-08-26,771.9951242858,,46.88664767441878,0.01234569411019643,exit_model_urgent
BRITANNIA,2,2016-08-08,1450.9957666753,2016-09-01,1569.3899139046,,225.11621752824294,0.07757300975593365,exit_model_urgent
JKTYRE,40,2016-08-08,99.6232681646,2016-09-12,127.3539415809,,1093.1991786560525,0.2743332955233515,exit_model_urgent
CUB,64,2016-11-10,61.6618963002,2016-11-11,60.7189443436,,-76.22155369048733,-0.01931438778035118,exit_model_urgent
MANAPPURAM,47,2016-11-10,84.972663361,2016-11-11,74.9856706055,,-485.45174937607953,-0.12155392353823255,exit_model_urgent
NH,11,2016-11-10,347.3256798353,2016-11-11,335.5552529559,,-144.84142989426118,-0.03791082399638294,exit_model_urgent
ITI,117,2016-11-10,34.1,2016-11-15,30.05,,-489.8969404524005,-0.12279042044574791,exit_model_urgent
VOLTAMP,4,2016-11-10,883.196921931,2016-11-15,780.464276314,,-425.139779564493,-0.12034116316748983,exit_model_urgent
PNB,26,2016-11-10,148.6832317466,2016-11-17,137.7629943867,,-299.474629917896,-0.07746841968348288,exit_model_urgent
BANKINDIA,35,2016-11-10,112.9262355465,2016-11-21,106.5590696277,,-238.74779695835923,-0.060405499168285276,exit_model_urgent
INDIANB,15,2016-11-10,250.5353710406,2016-11-23,228.7354794296,,-342.11351883869156,-0.09103532099219395,exit_model_urgent
SUDARSCHEM,10,2017-02-09,361.849096796,2017-02-10,322.8334582069,,-404.7102894653044,-0.11184504619434445,exit_model_urgent
SARDAEN,170,2017-02-09,22.7844638931,2017-02-14,22.5403446371,,-57.07927921128339,-0.014736377714395415,exit_model_urgent
IMFA,23,2017-02-09,164.2367215318,2017-02-15,155.1442083978,,-224.3210317689227,-0.059384334068619524,exit_model_urgent
JINDALSAW,114,2017-02-09,33.9193689807,2017-02-15,32.1522238529,,-217.0072023481448,-0.05612050010439311,exit_model_urgent
WHEELS,12,2017-02-09,307.6294893067,2017-02-15,298.5749141234,,-123.50267149445563,-0.03345547045700759,exit_model_urgent
JBMA,74,2017-02-09,52.5310043546,2017-02-20,53.4356940589,,51.311982723071196,0.013199922225981101,exit_model_urgent
WELSPUNLIV,43,2017-02-09,89.8362323683,2017-02-27,85.175591409,,-215.94473368520266,-0.055901393217718476,exit_model_urgent
INDOTECH,16,2017-05-16,226.75,2017-05-17,216.5,,-178.59214977600004,-0.049226061128996704,exit_model_urgent
PREMEXPLN,43,2017-05-16,88.6455267355,2017-05-19,84.2692033913,,-203.5131437491018,-0.05339089272085367,exit_model_urgent
GENUSPOWER,82,2017-05-16,46.9121059545,2017-05-22,42.8414258611,,-349.2679217559453,-0.09079457877235145,exit_model_urgent
GRAVITA,49,2017-05-16,77.0631983205,2017-05-23,74.0503426745,,-162.8177350535061,-0.04311799914714141,exit_model_urgent
SKIPPER,18,2017-05-16,205.1121843318,2017-05-23,198.6133824885,,-131.82807454206204,-0.03570622556072106,exit_model_urgent
VINDHYATEL,5,2017-05-16,730.5365554264,2017-05-23,677.4537692867,,-280.10535687494075,-0.07668482974447424,exit_model_urgent
VOLTAMP,3,2017-05-16,1228.9938677139,2017-05-23,1194.5281095263,,-118.22665377294334,-0.03206597333499078,exit_model_urgent
BLISSGVS,21,2017-05-16,177.4772742446,2017-06-06,160.5960183611,,-369.49680197684165,-0.09913993711764697,exit_model_urgent
UNOMINDA,264,2017-05-16,14.5232387236,2017-06-12,15.9143902609,,351.84276204414937,0.09176587677031313,exit_model_urgent
AVANTIFEED,10,2017-05-16,380.5317417091,2017-06-13,440.9005456142,,588.3827023102581,0.15462118867341457,exit_model_urgent
JKCEMENT,3,2017-08-14,1027.6757884436,2017-08-18,989.982455351,,-125.48021897967737,-0.04070032604664011,exit_model_urgent
VOLTAS,6,2017-08-14,549.3976510598,2017-08-21,527.9848230863,,-141.73533522387788,-0.04299719124222299,exit_model_urgent
EDELWEISS,16,2017-08-14,228.9863597638,2017-08-22,230.1322464682,,3.5981199789584934,0.00098207814175863,exit_model_urgent
KNRCON,69,2017-08-14,54.6838446226,2017-08-22,53.3916110755,,-104.34021307492048,-0.027653084956298854,exit_model_urgent
MGL,4,2017-08-14,935.4739736384,2017-08-22,916.4131594432,,-91.29350632311707,-0.02439766067676989,exit_model_urgent
PANAMAPET,31,2017-08-14,121.933918941,2017-08-22,123.7552589252,,41.258226873261265,0.010915014918389823,exit_model_urgent
BEML,4,2017-08-14,842.4122628406,2017-08-29,831.0738569483,,-58.90666206149217,-0.017481542191367175,exit_model_urgent
PCJEWELLER,115,2017-08-14,33.04,2017-08-29,35.04,,214.71765923680005,0.056510595651331735,exit_model_urgent
TATACONSUM,22,2017-08-14,172.5857389192,2017-09-04,186.6322787259,,293.7524499113383,0.07736667102680043,exit_model_urgent
TATASTEEL,66,2017-08-14,57.0633064058,2017-09-22,59.8307052335,,167.50040732777097,0.044474901988044054,exit_model_urgent
TCS,3,2017-11-15,1174.5350826521,2017-11-17,1175.4034041563,,-11.567299966363407,-0.0032828024572481465,exit_model_urgent
ACE,36,2017-11-15,104.6767134951,2017-11-30,137.2073222648,,1155.9452183195426,0.30675007196579734,exit_model_urgent
ZENTEC,39,2017-11-15,95.9846182274,2017-12-01,105.0143562207,,337.10348209997574,0.0900527520745721,exit_model_urgent
BALKRISIND,7,2017-11-15,502.0769967175,2017-12-04,489.3124881556,,-103.48735903647002,-0.02944550045199499,exit_model_urgent
