ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ZENSARTECH,20,2016-08-08,191.7005488402,2016-08-09,188.4635134927,,-80.16145182771561,-0.020907987043515857,exit_model_urgent
ARE&M,4,2016-08-08,865.6622400458,2016-08-10,844.6392799931,,-98.01893289236114,-0.02830749926414002,exit_model_urgent
AVANTIFEED,20,2016-08-08,194.4866379859,2016-08-10,187.938531969,,-146.60698335299958,-0.03769075985663046,exit_model_urgent
CEMPRO,26,2016-08-08,151.4249687459,2016-08-10,141.7743629848,,-266.7509238288212,-0.0677540236690385,exit_model_urgent
COLPAL,4,2016-08-08,837.1450820751,2016-08-10,791.4226542977,,-196.35800925941476,-0.05863918138678127,exit_model_urgent
GALLANTT,86,2016-08-08,46.4682248682,2016-08-10,40.846266185,,-499.5618016479061,-0.12500710270668872,exit_model_urgent
HEROMOTOCO,1,2016-08-08,2733.9160735414,2016-08-10,2623.1708651883,,-121.74127032116212,-0.04452999545207824,exit_model_urgent
MARICO,15,2016-08-08,259.3716493051,2016-08-10,249.5652928107,,-162.74359695145267,-0.0418302199148005,exit_model_urgent
PFC,77,2016-08-08,51.2865677228,2016-08-10,49.8871131797,,-123.64150543709047,-0.0313090524116217,exit_model_urgent
RAMCOIND,28,2016-08-08,139.0464829506,2016-08-10,130.6790839766,,-249.94638817970463,-0.06419908315031005,exit_model_urgent
SKIPPER,24,2016-08-08,160.7203686636,2016-08-10,155.0214193548,,-152.2891540281339,-0.03948087893651041,exit_model_urgent
APOLLOTYRE,23,2016-08-08,167.6793858972,2016-08-11,156.5625205339,,-271.19960743728734,-0.07032043454113673,exit_model_urgent
MANAPPURAM,52,2016-08-08,75.5501734817,2016-08-11,70.2128392106,,-293.3426090118869,-0.07466831324782854,exit_model_urgent
LINDEINDIA,11,2016-08-08,361.2483369431,2016-08-12,349.2067257116,,-148.440438052854,-0.037355425333508746,exit_model_urgent
IMFA,114,2016-08-08,34.7999923203,2016-08-16,34.1986729431,,-84.50684886191539,-0.02130138826148879,exit_model_urgent
MUTHOOTFIN,11,2016-08-08,336.1165154295,2016-08-16,307.2801060267,,-332.07131045634515,-0.0898149884482805,exit_model_urgent
JKCEMENT,5,2016-08-08,759.5627634366,2016-08-26,771.9951242858,,46.88664767441878,0.01234569411019643,exit_model_urgent
BRITANNIA,2,2016-08-08,1450.9957666753,2016-09-01,1569.3899139046,,225.11621752824294,0.07757300975593365,exit_model_urgent
LTF,47,2016-08-08,84.0692604131,2016-09-09,87.5336530125,,146.93414008338868,0.03718669920830447,exit_model_urgent
JKTYRE,40,2016-08-08,99.6232681646,2016-09-12,127.3539415809,,1093.1991786560525,0.2743332955233515,exit_model_urgent
CUB,63,2016-11-10,61.6618963002,2016-11-11,60.7189443436,,-75.03059191407328,-0.019314387780351133,exit_model_urgent
EIDPARRY,15,2016-11-10,248.9398235963,2016-11-11,235.8669028174,,-211.11269477802125,-0.05653647314658605,exit_model_urgent
FEDERALBNK,49,2016-11-10,79.8168229454,2016-11-11,76.834874392,,-161.8459787632719,-0.04138199237388309,exit_model_urgent
JYOTHYLAB,45,2016-11-10,86.8001032802,2016-11-11,84.1958645041,,-132.90105496961087,-0.03402480717757573,exit_model_urgent
MCX,15,2016-11-10,261.7980008665,2016-11-11,247.9149178206,,-224.04088036201665,-0.057051843945964784,exit_model_urgent
NH,11,2016-11-10,347.3256798353,2016-11-11,335.5552529559,,-144.84142989426118,-0.03791082399638294,exit_model_urgent
ITI,115,2016-11-10,34.1,2016-11-15,30.05,,-481.522633778,-0.1227904204457478,exit_model_urgent
KEI,29,2016-11-10,132.757494056,2016-11-15,116.0769515656,,-499.22065501029874,-0.12966880301251588,exit_model_urgent
VEDL,49,2016-11-10,79.4784284588,2016-11-15,72.6328158899,,-351.0988238886589,-0.09015379718902027,exit_model_urgent
VOLTAMP,4,2016-11-10,883.196921931,2016-11-15,780.464276314,,-425.139779564493,-0.12034116316748983,exit_model_urgent
GRAVITA,108,2016-11-10,36.248419491,2016-11-17,34.1300053649,,-244.53452924791827,-0.06246365044162999,exit_model_urgent
SWANCORP,30,2016-11-10,126.8240247773,2016-11-17,124.2245571823,,-93.28696471393687,-0.024518741586421706,exit_model_urgent
BANKINDIA,34,2016-11-10,112.9262355465,2016-11-21,106.5590696277,,-231.92643133097772,-0.06040549916828532,exit_model_urgent
POWERGRID,52,2016-11-10,74.6086116576,2016-11-21,73.262528985,,-85.6005993793151,-0.022064012935046354,exit_model_urgent
INDIANB,15,2016-11-10,250.5353710406,2016-11-23,228.7354794296,,-342.11351883869156,-0.09103532099219395,exit_model_urgent
SUDARSCHEM,10,2017-02-09,361.849096796,2017-02-10,322.8334582069,,-404.7102894653044,-0.11184504619434445,exit_model_urgent
ENGINERSIN,31,2017-02-09,120.3466833048,2017-02-13,114.895307905,,-183.9980457903498,-0.049319355290533676,exit_model_urgent
ESCORTS,9,2017-02-09,381.7249944253,2017-02-13,370.6562803557,,-113.43642404290222,-0.03301865819620706,exit_model_urgent
FORTIS,19,2017-02-09,193.2760230723,2017-02-13,184.341846351,,-184.51946268232768,-0.05024705347883771,exit_model_urgent
SARDAEN,166,2017-02-09,22.7844638931,2017-02-14,22.5403446371,,-55.736237347488895,-0.014736377714395522,exit_model_urgent
IMFA,23,2017-02-09,164.2367215318,2017-02-15,155.1442083978,,-224.3210317689227,-0.059384334068619524,exit_model_urgent
JINDALSAW,111,2017-02-09,33.9193689807,2017-02-15,32.1522238529,,-211.2964864968776,-0.05612050010439305,exit_model_urgent
KEC,23,2017-02-09,158.7119540131,2017-02-15,152.5048077972,,-157.44650681813164,-0.04313159861843476,exit_model_urgent
KIRLOSENG,11,2017-02-09,321.8957485143,2017-02-15,312.239778486,,-120.45730777556764,-0.03401928852361635,exit_model_urgent
SUNTECK,30,2017-02-09,124.0030560608,2017-02-15,121.2292709042,,-98.17610569073076,-0.026390775843081905,exit_model_urgent
WHEELS,12,2017-02-09,307.6294893067,2017-02-15,298.5749141234,,-123.50267149445563,-0.03345547045700759,exit_model_urgent
JBMA,72,2017-02-09,52.5310043546,2017-02-20,53.4356940589,,49.92517237920492,0.013199922225981238,exit_model_urgent
SUNTV,6,2017-02-09,573.2314226481,2017-02-20,546.4286315249,,-174.65028385428968,-0.05077945746224541,exit_model_urgent
V2RETAIL,207,2017-02-09,18.275,2017-02-23,17.98,,-76.28027237909964,-0.020164362861833013,exit_model_urgent
WELSPUNLIV,42,2017-02-09,89.8362323683,2017-02-27,85.175591409,,-210.92276313438424,-0.05590139321771854,exit_model_urgent
FINPIPE,39,2017-02-09,95.8200356645,2017-03-07,102.2455920617,,235.56621653424963,0.06303649707940871,exit_model_urgent
INDOTECH,16,2017-05-16,226.75,2017-05-17,216.5,,-178.59214977600004,-0.049226061128996704,exit_model_urgent
PNB,22,2017-05-16,162.5435330111,2017-05-17,154.0500150645,,-201.24022578826498,-0.056275896191766775,exit_model_urgent
TRITURBINE,28,2017-05-16,132.1533965815,2017-05-17,131.6773396774,,-28.21252065137196,-0.007624397475413323,exit_model_urgent
