ticker,company_name,sector,trendlyne_sector_raw,trendlyne_url
CUPID,Cupid Ltd.,Fast Moving Consumer Goods,FMCG,https://trendlyne.com/equity/3405/CUPID/cupid-ltd/
MTARTECH,MTAR Technologies Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/436155/MTARTECH/mtar-technologies-ltd/
HATSUN,Hatsun Agro Products Ltd.,Fast Moving Consumer Goods,FMCG,https://trendlyne.com/equity/524/HATSUN/hatsun-agro-products-ltd/
SANSERA,Sansera Engineering Ltd.,Automobile and Auto Components,Automobiles & Auto Components,https://trendlyne.com/equity/658068/SANSERA/sansera-engineering-ltd/
CMPDI,Central Mine Planning & Design Institute Ltd.,Services,Commercial Services & Supplies,https://trendlyne.com/equity/3457158/CMPDI/central-mine-planning-design-institute-ltd/
BASF,BASF India Ltd.,Chemicals,Chemicals & Petrochemicals,https://trendlyne.com/equity/166/BASF/basf-india-ltd/
SHADOWFAX,Shadowfax Technologies Ltd.,,Transportation,https://trendlyne.com/equity/3396102/SHADOWFAX/shadowfax-technologies-ltd/
VINATIORGA,Vinati Organics Ltd.,Chemicals,Chemicals & Petrochemicals,https://trendlyne.com/equity/1485/VINATIORGA/vinati-organics-ltd/
ALIVUS,Alivus Life Sciences Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/606572/ALIVUS/alivus-life-sciences-ltd/
SHAILY,Shaily Engineering Plastics Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/2105/SHAILY/shaily-engineering-plastics-ltd/
KIRLPNU,Kirloskar Pneumatic Company Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/2214/KIRLPNU/kirloskar-pneumatic-company-ltd/
SOUTHBANK,South Indian Bank Ltd.,Financial Services,Banking and Finance,https://trendlyne.com/equity/1270/SOUTHBANK/south-indian-bank-ltd/
CORONA,Corona Remedies Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/3351950/CORONA/corona-remedies-ltd/
DIACABS,Diamond Power Infrastructure Ltd.,Consumer Durables,Consumer Durables,https://trendlyne.com/equity/331/DIACABS/diamond-power-infrastructure-ltd/
WAAREERTL,Waaree Renewable Technologies Ltd.,Utilities,Utilities,https://trendlyne.com/equity/3931/WAAREERTL/waaree-renewable-technologies-ltd/
KTKBANK,Karnataka Bank Ltd.,Financial Services,Banking and Finance,https://trendlyne.com/equity/775/KTKBANK/karnataka-bank-ltd/
STAR,Strides Pharma Science Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/1291/STAR/strides-pharma-science-ltd/
WEWORK,WeWork India Management Ltd.,Consumer Services,Diversified Consumer Services,https://trendlyne.com/equity/3279321/WEWORK/wework-india-management-ltd/
MANYAVAR,Vedant Fashions Ltd.,Consumer Services,Retailing,https://trendlyne.com/equity/816269/MANYAVAR/vedant-fashions-ltd/
MANORAMA,Manorama Industries Ltd.,Fast Moving Consumer Goods,"Food, Beverages & Tobacco",https://trendlyne.com/equity/110310/MANORAMA/manorama-industries-ltd/
UTLSOLAR,Fujiyama Power Systems Ltd.,Consumer Durables,Consumer Durables,https://trendlyne.com/equity/3324429/UTLSOLAR/fujiyama-power-systems-ltd/
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,Chemicals & Petrochemicals,https://trendlyne.com/equity/58/ALKYLAMINE/alkyl-amines-chemicals-ltd/
EUREKAFORB,Eureka Forbes Ltd.,Consumer Durables,Consumer Durables,https://trendlyne.com/equity/850674/EUREKAFORB/eureka-forbes-ltd/
ESABINDIA,Esab India Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/386/ESABINDIA/esab-india-ltd/
V2RETAIL,V2 Retail Ltd.,Consumer Services,Retailing,https://trendlyne.com/equity/1461/V2RETAIL/v2-retail-ltd/
JAYNECOIND,Jayaswal Neco Industries Ltd.,Metals & Mining,Metals & Mining,https://trendlyne.com/equity/663/JAYNECOIND/jayaswal-neco-industries-ltd/
SKFINDIA,SKF India Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/1251/SKFINDIA/skf-india-ltd/
CERA,Cera Sanitaryware Ltd.,Consumer Durables,Consumer Durables,https://trendlyne.com/equity/254/CERA/cera-sanitaryware-ltd/
MIDHANI,Mishra Dhatu Nigam Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/80900/MIDHANI/mishra-dhatu-nigam-ltd/
SANOFI,Sanofi India Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/1182/SANOFI/sanofi-india-ltd/
SPARC,Sun Pharma Advanced Research Company Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/1271/SPARC/sun-pharma-advanced-research-company-ltd/
KIRLFER,Kirloskar Ferrous Industries Ltd.,Metals & Mining,Metals & Mining,https://trendlyne.com/equity/2056/KIRLFER/kirloskar-ferrous-industries-ltd/
PRECWIRE,Precision Wires India Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/1067/PRECWIRE/precision-wires-india-ltd/
JSLL,Jeena Sikho Lifecare Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/856675/JSLL/jeena-sikho-lifecare-ltd/
CAMPUS,Campus Activewear Ltd.,Consumer Services,Retailing,https://trendlyne.com/equity/877863/CAMPUS/campus-activewear-ltd/
JYOTHYLAB,Jyothy Labs Ltd.,Fast Moving Consumer Goods,FMCG,https://trendlyne.com/equity/706/JYOTHYLAB/jyothy-labs-ltd/
KENNAMET,Kennametal India Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/2255/KENNAMET/kennametal-india-ltd/
KOVAI,Kovai Medical Center and Hospital Ltd.,Healthcare,Healthcare,https://trendlyne.com/equity/762/KOVAI/kovai-medical-center-and-hospital-ltd/
JAIBALAJI,Jai Balaji Industries Ltd.,Metals & Mining,Metals & Mining,https://trendlyne.com/equity/656/JAIBALAJI/jai-balaji-industries-ltd/
