ticker,date,our_close,fyers_close,diff_pct,status
20MICRONS,2007-05-25,,,,NO_OUR_DATA
21STCENMGM,2007-05-25,,,,NO_OUR_DATA
360ONE,2007-05-25,,,,NO_OUR_DATA
3BBLACKBIO,2007-05-25,,,,NO_OUR_DATA
3IINFOLTD,2007-05-25,,,,NO_OUR_DATA
3MINDIA,2007-05-25,1688.59,1788.65,5.594,MISMATCH
3PLAND,2007-05-25,,,,NO_OUR_DATA
5PAISA,2007-05-25,,,,NO_OUR_DATA
63MOONS,2007-05-25,,,,NO_OUR_DATA
A2ZINFRA,2007-05-25,,,,NO_OUR_DATA
AAATECH,2007-05-25,,,,NO_OUR_DATA
AADHARHFC,2007-05-25,,,,NO_OUR_DATA
AAKASH,2007-05-25,,,,NO_OUR_DATA
AARNAV,2007-05-25,,,,NO_OUR_DATA
AARON,2007-05-25,,,,NO_OUR_DATA
AARTECH,2007-05-25,,,,NO_OUR_DATA
AARTIDRUGS,2007-05-25,16.75,8.38,99.881,MISMATCH
AARTIIND,2007-05-25,5.21,6.23,16.34,MISMATCH
AARTIPHARM,2007-05-25,,,,NO_OUR_DATA
AARTISURF,2007-05-25,,,,NO_OUR_DATA
AARVI,2007-05-25,,,,NO_OUR_DATA
AAVAS,2007-05-25,,,,NO_OUR_DATA
ABB,2007-05-25,885.51,898.63,1.46,MISMATCH
ABBOTINDIA,2007-05-25,,,,NO_OUR_DATA
ABCAPITAL,2007-05-25,,,,NO_OUR_DATA
ABCOTS,2007-05-25,,,,NO_OUR_DATA
ABDL,2007-05-25,,,,NO_OUR_DATA
ABFRL,2007-05-25,,,,NO_OUR_DATA
ABGSEC,2007-05-25,,,,NO_OUR_DATA
ABINFRA,2007-05-25,,,,NO_OUR_DATA
ABLBL,2007-05-25,,,,NO_OUR_DATA
ABMINTLLTD,2007-05-25,,,,NO_OUR_DATA
ABMKNO,2007-05-25,,,,NO_OUR_DATA
ABREL,2007-05-25,,,,NO_OUR_DATA
ABSL10BANK,2007-05-25,,,,NO_OUR_DATA
ABSLAMC,2007-05-25,,,,NO_OUR_DATA
ABSLBANETF,2007-05-25,,,,NO_OUR_DATA
ABSLLIQUID,2007-05-25,,,,NO_OUR_DATA
ABSLMSCIN,2007-05-25,,,,NO_OUR_DATA
ABSLNN50ET,2007-05-25,,,,NO_OUR_DATA
ABSLPSE,2007-05-25,,,,NO_OUR_DATA
ACC,2007-05-25,711.47,858.05,17.082,MISMATCH
ACCELYA,2007-05-25,,,,NO_OUR_DATA
ACE,2007-05-25,46.41,47.88,3.071,MISMATCH
ACEINTEG,2007-05-25,,,,NO_OUR_DATA
ACI,2007-05-25,,,,NO_OUR_DATA
ACL,2007-05-25,,,,NO_OUR_DATA
ACMESOLAR,2007-05-25,,,,NO_OUR_DATA
ACSTECH,2007-05-25,,,,NO_OUR_DATA
ACUTAAS,2007-05-25,,,,NO_OUR_DATA
ADANIENSOL,2007-05-25,,,,NO_OUR_DATA
ADANIENT,2007-05-25,116.78,115.36,1.23,MISMATCH
ADANIGREEN,2007-05-25,,,,NO_OUR_DATA
ADANIPORTS,2007-05-25,,,,NO_OUR_DATA
ADANIPOWER,2007-05-25,,,,NO_OUR_DATA
ADFFOODS,2007-05-25,,,,NO_OUR_DATA
ADL,2007-05-25,,,,NO_OUR_DATA
ADOR,2007-05-25,,,,NO_OUR_DATA
ADROITINFO,2007-05-25,,,,NO_OUR_DATA
ADSL,2007-05-25,,,,NO_OUR_DATA
ADVAIT,2007-05-25,,,,NO_OUR_DATA
ADVANCE,2007-05-25,,,,NO_OUR_DATA
ADVANIHOTR,2007-05-25,,,,NO_OUR_DATA
ADVENTHTL,2007-05-25,,,,NO_OUR_DATA
ADVENZYMES,2007-05-25,,,,NO_OUR_DATA
AEGISLOG,2007-05-25,,,,NO_OUR_DATA
AEGISVOPAK,2007-05-25,,,,NO_OUR_DATA
AEPL,2007-05-25,,,,NO_OUR_DATA
AEQUS,2007-05-25,,,,NO_OUR_DATA
AEROENTER,2007-05-25,,,,NO_OUR_DATA
AEROFLEX,2007-05-25,,,,NO_OUR_DATA
AERONEU,2007-05-25,,,,NO_OUR_DATA
AETHER,2007-05-25,,,,NO_OUR_DATA
AFCONS,2007-05-25,,,,NO_OUR_DATA
AFFLE,2007-05-25,,,,NO_OUR_DATA
AFSL,2007-05-25,,,,NO_OUR_DATA
AGARIND,2007-05-25,,,,NO_OUR_DATA
AGARWALEYE,2007-05-25,,,,NO_OUR_DATA
AGI,2007-05-25,,,,NO_OUR_DATA
AGIIL,2007-05-25,,,,NO_OUR_DATA
AGROPHOS,2007-05-25,,,,NO_OUR_DATA
AHCL,2007-05-25,,,,NO_OUR_DATA
AHLADA,2007-05-25,,,,NO_OUR_DATA
AHLEAST,2007-05-25,,,,NO_OUR_DATA
AHLUCONT,2007-05-25,,,,NO_OUR_DATA
AIAENG,2007-05-25,289.55,307.19,5.742,MISMATCH
AIIL,2007-05-25,,,,NO_OUR_DATA
AIRAN,2007-05-25,,,,NO_OUR_DATA
AIROLAM,2007-05-25,,,,NO_OUR_DATA
AJANTPHARM,2007-05-25,6.58,7.44,11.545,MISMATCH
AJAXENGG,2007-05-25,,,,NO_OUR_DATA
AJMERA,2007-05-25,,,,NO_OUR_DATA
AJOONI,2007-05-25,,,,NO_OUR_DATA
AKASH,2007-05-25,,,,NO_OUR_DATA
AKCAPIT,2007-05-25,,,,NO_OUR_DATA
AKG,2007-05-25,,,,NO_OUR_DATA
AKI,2007-05-25,,,,NO_OUR_DATA
AKSHAR,2007-05-25,,,,NO_OUR_DATA
AKUMS,2007-05-25,,,,NO_OUR_DATA
ALANKIT,2007-05-25,,,,NO_OUR_DATA
ALBERTDAVD,2007-05-25,,,,NO_OUR_DATA
ALEMBICLTD,2007-05-25,63.7,15.93,299.874,MISMATCH
ALGOQUANT,2007-05-25,,,,NO_OUR_DATA
ALICON,2007-05-25,,,,NO_OUR_DATA
ALIVUS,2007-05-25,,,,NO_OUR_DATA
ALKEM,2007-05-25,,,,NO_OUR_DATA
ALKYLAMINE,2007-05-25,,,,NO_OUR_DATA
ALLCARGO,2007-05-25,978.3,5.14,18933.074,MISMATCH
ALLDIGI,2007-05-25,,,,NO_OUR_DATA
ALLTIME,2007-05-25,,,,NO_OUR_DATA
ALMONDZ,2007-05-25,,,,NO_OUR_DATA
ALOKINDS,2007-05-25,,,,NO_OUR_DATA
ALPA,2007-05-25,,,,NO_OUR_DATA
ALPHA,2007-05-25,,,,NO_OUR_DATA
ALPHAETF,2007-05-25,,,,NO_OUR_DATA
ALPHAGEO,2007-05-25,278.0,278,0.0,OK
ALPL30IETF,2007-05-25,,,,NO_OUR_DATA
AMAGI,2007-05-25,,,,NO_OUR_DATA
AMBALALSA,2007-05-25,,,,NO_OUR_DATA
AMBER,2007-05-25,,,,NO_OUR_DATA
AMBICAAGAR,2007-05-25,13.25,13.25,0.0,OK
