signal_date,ticker,entry_date,entry_price,exit_date,exit_price,shares,gross_return_pct,net_return_pct,pnl_inr,buy_prob,meta_prob
2007-01-03,HTMEDIA,2007-01-04,179.4,2007-01-11,168.3,5574,-6.187,-6.687,-66871.4,0.8587,0.5427
2007-01-03,RSWM,2007-01-04,109.0,2007-01-11,112.95,9174,3.624,3.124,31237.3,0.6982,0.5165
2007-01-04,HINDZINC,2007-01-05,56.53,2007-01-12,58.03,17690,2.662,2.162,21619.76,0.8702,0.5471
2007-01-04,UNICHEMLAB,2007-01-05,278.0,2007-01-12,273.55,3597,-1.601,-2.101,-21006.65,0.8057,0.5601
2007-01-04,EVEREADY,2007-01-05,68.8,2007-01-12,75.0,14534,9.012,8.512,85110.8,0.4876,0.5945
2007-01-05,INDNIPPON,2007-01-08,210.0,2007-01-15,208.95,4761,-0.5,-1.0,-9999.05,0.8636,0.6012
2007-01-05,CCL,2007-01-08,82.68,2007-01-15,85.89,12095,3.883,3.383,33827.94,0.6381,0.6243
2007-01-05,MAHSCOOTER,2007-01-08,300.05,2007-01-15,330.35,3332,10.098,9.598,95959.6,0.544,0.7593
2007-01-08,BLKASHYAP,2007-01-09,1421.45,2007-01-16,1400.8,703,-1.453,-1.953,-19516.95,0.6399,0.5445
2007-01-09,EVERESTIND,2007-01-10,112.8,2007-01-17,122.35,8865,8.466,7.966,79660.75,0.6988,0.5312
2007-01-10,VIMTALABS,2007-01-11,172.5,2007-01-18,164.9,5797,-4.406,-4.906,-49057.2,0.6001,0.5994
2007-01-11,INDHOTEL,2007-01-12,147.41,2007-01-19,151.87,6783,3.024,2.524,25241.15,0.7352,0.5226
2007-01-11,FINCABLES,2007-01-12,96.85,2007-01-19,98.75,10325,1.971,1.471,14705.53,0.4974,0.7575
2007-01-11,ASIANPAINT,2007-01-12,676.85,2007-01-19,732.12,1477,8.166,7.666,76640.18,0.4057,0.5284
2007-01-12,HINDZINC,2007-01-15,59.26,2007-01-22,55.28,16875,-6.721,-7.221,-72210.58,0.708,0.5174
2007-01-12,PRECWIRE,2007-01-15,195.0,2007-01-22,187.75,5128,-3.718,-4.218,-42178.0,0.69,0.5624
2007-01-15,VIMTALABS,2007-01-16,166.0,2007-01-23,162.2,6024,-2.289,-2.789,-27891.2,0.9173,0.6326
2007-01-15,INDHOTEL,2007-01-16,151.49,2007-01-23,150.91,6601,-0.38,-0.88,-8797.38,0.9045,0.5096
2007-01-15,SAKSOFT,2007-01-16,131.0,2007-01-23,124.35,7633,-5.076,-5.576,-55759.45,0.7244,0.6031
2007-01-15,SCI,2007-01-16,98.03,2007-01-23,109.09,10200,11.281,10.781,107805.83,0.6889,0.5478
2007-01-16,SAKSOFT,2007-01-17,131.0,2007-01-24,128.05,7633,-2.252,-2.752,-27517.35,0.7737,0.5711
2007-01-16,NIPPOBATRY,2007-01-17,352.5,2007-01-24,345.0,2836,-2.128,-2.628,-26270.0,0.4,0.6499
2007-01-17,INDHOTEL,2007-01-18,150.53,2007-01-25,151.78,6643,0.828,0.328,3280.02,0.8945,0.8254
2007-01-17,BLKASHYAP,2007-01-18,1390.0,2007-01-25,1452.05,719,4.464,3.964,39613.95,0.5155,0.6346
2007-01-18,INDHOTEL,2007-01-19,154.46,2007-01-29,148.42,6474,-3.911,-4.411,-44105.4,0.9263,0.6559
2007-01-18,FMGOETZE,2007-01-19,408.0,2007-01-29,385.65,2450,-5.478,-5.978,-59757.5,0.8811,0.512
2007-01-18,PANACEABIO,2007-01-19,400.0,2007-01-29,397.1,2500,-0.725,-1.225,-12250.0,0.6294,0.6496
2007-01-18,NIFTYBEES,2007-01-19,413.0,2007-01-29,412.66,2421,-0.082,-0.582,-5823.14,0.4222,0.8939
2007-01-18,WENDT,2007-01-22,706.0,2007-02-01,699.3,1416,-0.949,-1.449,-14487.2,0.3942,0.6899
2007-01-19,VIMTALABS,2007-01-22,161.8,2007-01-31,155.15,6180,-4.11,-4.61,-46097.0,0.9212,0.606
2007-01-19,INDHOTEL,2007-01-22,150.53,2007-01-31,145.69,6643,-3.217,-3.717,-37164.68,0.8794,0.6365
2007-01-19,NIFTYBEES,2007-01-22,411.99,2007-01-31,410.45,2427,-0.374,-0.874,-8737.58,0.8485,0.6444
2007-01-19,EIMCOELECO,2007-01-22,327.0,2007-01-31,284.35,3058,-13.043,-13.543,-135423.7,0.6082,0.7847
2007-01-19,FMGOETZE,2007-01-22,405.0,2007-01-31,380.35,2469,-6.086,-6.586,-65860.85,0.4625,0.5362
2007-01-22,INDHOTEL,2007-01-23,150.34,2007-02-01,147.37,6651,-1.977,-2.477,-24768.43,0.9067,0.5663
2007-01-22,VIMTALABS,2007-01-23,162.0,2007-02-01,156.05,6172,-3.673,-4.173,-41723.4,0.792,0.5892
2007-01-22,BBL,2007-01-23,1519.8,2007-02-01,1411.95,657,-7.096,-7.596,-75857.45,0.645,0.5759
2007-01-22,BALRAMCHIN,2007-01-23,69.11,2007-02-01,58.43,14470,-15.443,-15.943,-159425.04,0.622,0.5705
2007-01-22,NIFTYBEES,2007-01-23,410.99,2007-02-01,413.0,2433,0.489,-0.011,-109.67,0.5344,0.8106
2007-01-22,FMGOETZE,2007-01-23,397.0,2007-02-01,377.5,2518,-4.912,-5.412,-54101.0,0.4663,0.5763
2007-01-22,CONCOR,2007-01-23,287.93,2007-02-01,283.52,3473,-1.531,-2.031,-20311.33,0.4486,0.5037
2007-01-23,INDHOTEL,2007-01-24,152.16,2007-02-02,150.72,6572,-0.945,-1.445,-14451.75,0.9001,0.5518
2007-01-23,PARACABLES,2007-01-24,256.0,2007-02-02,53.55,3906,-79.082,-79.582,-795769.7,0.6892,0.5464
