ticker,status,existing_ca_rows,candidate_ex_date,ratio_before,ratio_after,implied_factor,matched_action_type,matched_ratio,matched_factor,match_pct_diff,cv_before,cv_after,confidence,n_before,n_after
LUMAXTECH,ok,0,2018-06-07,5.0,1.0,0.2,BONUS,4.0,0.2,0.0,8.328244471161506e-17,0.0,high,2626,1961
ORIENTALTL,ok,0,2024-12-31,1.2892938496583144,1.0,0.7756183745583038,BONUS,0.3333333333333333,0.75,3.4157832744405128,0.0006253510859116554,0.0,low,2528,296
SOTL,ok,0,2022-09-01,5.0,1.0,0.2,BONUS,4.0,0.2,0.0,7.924292335818386e-17,0.0,high,3212,916
TCS,ok,87,2018-05-31,1.6822557827168687,0.9324612284476658,0.5542921819782523,BONUS,1.0,0.5,10.85843639565045,0.022307344967866675,0.034252991613657066,low,3059,1966
AHLEAST,ok,0,2022-12-06,1.5,1.0,0.6666666666666666,BONUS,0.5,0.666667,4.99999750070014e-05,2.1439956911291724e-05,0.0,high,2865,852
GRAPHITE,ok,26,2016-03-22,0.8117346450919236,0.9136696327814711,1.125576736567655,BONUS,0.3333333333333333,0.75,50.07689820902067,0.006256022873729819,0.049714133320104534,low,2519,2506
JSWSTEEL,ok,22,2017-01-04,9.868416697290357,0.9973144062919624,0.10106123777341125,SPLIT,10.0,0.1,1.0612377734112444,5.4296508181598036e-05,0.005327473483339199,high,2712,2313
KANANIIND,ok,0,2012-12-03,10.998373945110089,1.9990435143779322,0.18175809663815923,BONUS,5.0,0.166667,9.054639873615782,0.0002229781417087373,0.18851648455241218,low,102,2706
PGIL,ok,0,2024-01-23,2.0,1.0,0.5,BONUS,1.0,0.5,0.0,3.474736270703113e-05,0.0,high,2665,564
PTL,ok,0,2008-03-04,10.0,1.9995619798510733,0.19995619798510733,BONUS,4.0,0.2,0.021901007446339937,0.0002145366615204479,0.22219243049305148,low,135,4015
TCI,ok,1,2016-09-12,1.8399853533504211,1.0,0.5434825870646766,BONUS,1.0,0.5,8.69651741293531,0.125677472968833,0.0,low,2614,2390
VENKEYS,ok,0,2015-12-21,1.5,1.0,0.6666666666666666,BONUS,0.5,0.666667,4.99999750070014e-05,2.3552835584680587e-05,0.0,high,2405,2569
AARTIDRUGS,ok,1,2015-03-24,1.9998383968972204,1.0,0.5000404040404041,BONUS,1.0,0.5,0.008080808080812574,0.00031694389931982833,1.487709072502352e-05,high,2209,2754
ASHIMASYN,ok,0,2015-10-30,1.302367941712204,1.0,0.7678321678321678,BONUS,0.3333333333333333,0.75,2.377622377622372,0.0007637099725018645,0.0,high,1516,2195
BAJAJ-AUTO,ok,23,2020-03-03,0.8350878358034305,0.9256755406946025,1.1084768583702556,BONUS,0.3333333333333333,0.75,47.79691444936741,0.010604016665299289,0.0390131106558779,low,2898,1536
GLAXO,ok,23,2026-05-29,0.8620104266891153,1.0,1.1600787751963593,BONUS,0.3333333333333333,0.75,54.67717002618123,0.07027435271951812,0.0,low,4999,25
GOKULAGRO,ok,0,2025-10-14,2.0123203285420947,1.0,0.496938775510204,BONUS,1.0,0.5,0.6122448979592021,0.002899630331164767,0.0,high,2079,165
GRPLTD,ok,0,2024-10-07,4.0,1.0,0.25,BONUS,3.0,0.25,0.0,9.786320330286067e-06,0.0,high,2140,399
HERITGFOOD,ok,1,2017-10-10,1.9706364061768833,1.970969066009926,1.0001688083260818,BONUS,0.3333333333333333,0.75,33.35584111014424,0.24632957376263379,0.23977049636283604,low,2492,2125
JBMA,ok,24,2014-09-09,3.9334334971606095,0.9986592486697188,0.25388995374921464,BONUS,3.0,0.25,1.5559814996858545,0.0011647836777698521,0.007671930082188675,high,1873,2820
